filename,subcorpus,f1,f2,f3,f4
32610.txt,menores_notas,4.4681157946,22.277403269,8.7307573604,-0.278383009
32610_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-20.91212443,-7.572405303,-11.72748382,-1.128229219
32610_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-10.26942817,-8.81205874,2.5623685611,-4.673155674
32674.txt,menores_notas,-11.98235453,3.3655468061,9.1285921778,2.8691785195
32674_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-33.81316212,-8.750514442,-8.213908439,-2.484098823
32674_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-22.65643112,-19.37261143,13.260898196,-5.240735784
32714.txt,menores_notas,32.015705889,35.964372044,5.0576246644,-2.770160962
32714_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-26.47231196,-9.512832299,-14.87252277,-6.0415563
32714_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-23.09760272,-13.54044511,5.3749560961,3.5800657062
32733.txt,menores_notas,-5.614817037,13.348213826,-1.971751893,0.0045106101
32733_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-33.04732271,-5.785602803,-16.93084587,-1.210310478
32733_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-22.38583496,-19.80291263,10.441867188,-0.090056496
32749.txt,menores_notas,12.391256268,14.13078498,13.478344697,6.8871941984
32749_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-19.75132507,-12.29258405,-12.52018118,-0.759673337
32749_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-10.57251292,-12.07854557,9.0505371573,3.0691305216
32755.txt,menores_notas,22.078200941,21.281856509,1.8482772179,-7.295651305
32755_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-28.52708392,-12.9620064,-14.22293719,-1.84512538
32755_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-18.28729093,-17.20347672,7.9019193805,-0.082765796
32757.txt,maiores_notas,-20.35191256,9.237914801,4.8911519916,-5.35416695
32782.txt,menores_notas,-14.2325831,9.4806518081,-11.27355365,-2.40507607
32782_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-34.40149056,-9.713562874,-14.88371865,-4.480645412
32782_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-22.91298662,-16.47552667,10.536467494,3.4740566086
32792.txt,menores_notas,24.864354143,9.0274724425,2.7898580587,-0.78097038
32792_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-17.33944375,-13.80811259,-13.72747356,5.0645860014
32792_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-27.69216063,-15.22606481,5.3601981862,-6.083926359
32860.txt,menores_notas,86.52633996,2.1895245505,3.7778142853,7.9265298668
32860_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.394726788,-11.36345191,-7.731385422,5.8946196124
32860_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.841799768,-9.186387494,-0.78115033,-0.108346899
32875.txt,maiores_notas,-5.555893892,16.228151893,-6.851400407,0.1406265787
33083.txt,maiores_notas,-22.70040033,-3.426681456,5.9371580626,-6.360833076
33167.txt,menores_notas,10.103430317,26.396071795,3.5984856802,7.2580499467
33167_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-22.17889408,-8.1131121,-8.865552028,0.899132963
33167_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-16.33068268,-12.24356998,15.859489122,0.4195687359
33228.txt,maiores_notas,-19.60946719,-5.383398733,-7.953025595,-0.232308377
33310.txt,menores_notas,34.593213966,29.547846487,-4.716013535,-3.995129121
33310_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-24.39593308,-13.98914092,-14.2254803,0.021569146
33310_composicao_gpt-5.6-sol.txt,menores_notas_gpt,0.4329099455,-11.00650128,10.566800217,-2.992400528
33360.txt,menores_notas,-28.01203618,15.448704659,-10.05505879,-7.369475827
33360_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-24.42961714,-6.24109869,-13.4105569,-2.437753322
33360_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-19.4961165,-16.52900641,16.330842368,-3.005461586
33383.txt,maiores_notas,-1.745744521,18.811063118,16.427199558,21.601443091
33436.txt,menores_notas,-1.668760509,10.319303462,15.032970719,0.0309950785
33436_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-8.864928904,-13.1920327,-7.047027201,3.3145772036
33436_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-9.470278232,-16.80201344,9.3146395709,1.4341910299
33465.txt,menores_notas,22.401362382,15.017280592,15.283960807,-3.931630826
33465_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-14.41973096,-3.784181529,-8.410758653,0.5404715863
33465_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-4.288371535,-12.5151884,4.5555855182,-6.461967393
33497.txt,menores_notas,17.279518843,5.2749442714,8.1535182033,-2.636080186
33497_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-28.87003195,-11.18330569,-9.821816193,-6.960246825
33497_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-8.65679112,-5.232743717,19.232184345,-2.648989573
33645.txt,menores_notas,57.931796052,37.56360162,17.850413604,-2.23147669
33645_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-22.98284742,-16.31631553,-13.04509615,-1.488862147
33645_composicao_gpt-5.6-sol.txt,menores_notas_gpt,-24.37436776,-17.04152488,6.7449971491,-0.479374623
33669.txt,maiores_notas,-15.24713943,0.0435350064,2.7268224783,-7.948165192
33787.txt,menores_notas,41.076067009,-1.642059144,-7.498005897,-7.948165192
33787_composicao_gemini-3.6-flash.txt,menores_notas_gemini,-20.0986948,-13.62822623,-18.1725015,-3.984034255
