_NAME_,Factor1,Factor2,Factor3,Factor4,loaded,factor5,factor6,factor7,factor8,factor9,factor,pole
v171,-0.254137554,0.1445872508,-0.085551047,0.3527433141,1,,,,,,f4,1
v172,-0.127045006,0.0613225447,-0.082515644,0.223383451,0,,,,,,,
v173,0.0034223678,-0.02019712,0.054670584,0.0535384251,0,,,,,,,
v174,-0.025093687,0.0713830484,-0.061925763,0.1861906401,0,,,,,,,
v175,-0.069658498,-0.008438739,0.0287232914,0.1336290326,0,,,,,,,
v176,0.2627232565,-0.04433536,-0.17601537,0.0200629542,0,,,,,,,
v177,0.0374497815,-0.001813744,-0.093647016,0.0202179178,0,,,,,,,
v178,0.1949219356,-0.068674179,0.0888240588,0.6567480252,1,,,,,,f4,1
v179,-0.085278143,-0.000115952,0.0078662478,0.4067523996,1,,,,,,f4,1
v180,0.052629773,-0.03672581,-0.008542982,0.0508444456,0,,,,,,,
v181,-0.060461876,0.0439293352,0.0397187055,0.0744407467,0,,,,,,,
v182,0.4508131126,-0.096548205,-0.084047888,0.0958586237,1,,,,,,f1,1
v183,0.4082920408,-0.118853058,-0.071441211,0.0203052876,1,,,,,,f1,1
v184,0.2812035399,-0.013965339,0.0134137334,-0.062853374,0,,,,,,,
v185,-0.158886621,-0.17126594,0.7894465952,-0.040838914,1,,,,,,f3,1
v186,0.0362900178,0.0264975196,0.031203148,0.1092406129,0,,,,,,,
v187,-0.251467292,-0.157711669,0.0824284529,0.08347813,0,,,,,,,
v188,-0.017088555,0.0547003953,0.030727861,0.0054075497,0,,,,,,,
v189,-0.224698561,-0.33037831,0.0788261694,-0.095752933,1,,,,,,f2,-1
v190,0.1171263444,-0.033643383,-0.004656618,0.0705743442,0,,,,,,,
v191,0.0269384039,0.1470723844,-0.10244287,0.0448038913,0,,,,,,,
v192,0.279793003,0.0908608703,0.0687479895,-0.087027945,0,,,,,,,
v193,0.0763266547,0.0445314121,-0.033414169,-0.047879181,0,,,,,,,
v194,0.0239269232,0.0887053752,-0.058646596,0.0343242451,0,,,,,,,
v195,0.554839876,0.2874094238,-0.096793816,0.0487369081,1,,,,,,f1,1
v196,0.0248739662,-0.010868271,-0.258852307,0.3587573241,1,,,,,,f4,1
v197,-0.065333261,0.0479232264,-0.032826356,0.0664481644,0,,,,,,,
v198,0.2885521293,-0.00910196,-0.012475183,-0.083347611,0,,,,,,,
v199,0.2341701623,0.1064393777,0.0397910787,-0.195339139,0,,,,,,,
v201,0.1364958884,0.0860073437,-0.044632417,-0.004906678,0,,,,,,,
v202,-0.078371807,0.2500257518,-0.019040891,0.1186549163,0,,,,,,,
v203,-0.23635392,0.2183622086,0.3323737845,0.1810975465,1,,,,,,f3,1
v204,0.2343140795,0.0575653554,-0.038089241,-0.025152437,0,,,,,,,
v206,-0.007064911,-0.048018151,-0.088222299,-0.013382882,0,,,,,,,
v207,0.2563145493,-0.004811163,-0.067214354,-0.049110515,0,,,,,,,
v208,0.3772613949,-0.030224928,-0.045839212,-0.08606276,1,,,,,,f1,1
v209,0.5822013659,-0.069968148,-0.132643209,-0.179913174,1,,,,,,f1,1
v210,0.1364024941,0.0225981264,-0.078246186,0.0637266222,0,,,,,,,
v211,0.1370148534,-0.0473463,-0.008876595,-0.051542165,0,,,,,,,
v212,0.1323415318,0.0110289142,-0.018645752,0.0420267398,0,,,,,,,
v213,-0.062215205,0.2125861959,-0.005171775,0.1089322398,0,,,,,,,
v215,0.1175660283,-0.041272316,-0.017791612,0.0414299238,0,,,,,,,
v216,0.2437771788,-0.010881064,-0.077961563,-0.139002591,0,,,,,,,
v217,0.2379706162,0.0444206191,-0.034631139,-0.11469975,0,,,,,,,
v218,0.1014971765,0.0020680779,-0.010564507,-0.043644409,0,,,,,,,
v220,-0.013009071,0.0127161733,-0.001138527,0.0517022331,0,,,,,,,
v224,0.2843421862,-0.041887523,-0.000852857,-0.070774028,0,,,,,,,
v225,-0.000904298,0.0345385398,0.0031079835,-0.006688567,0,,,,,,,
v226,0.0112504406,0.0418219282,-0.007895503,0.0794846189,0,,,,,,,
v227,-0.008145924,0.4741264427,0.0766538725,-0.069647782,1,,,,,,f2,1
v228,0.1083458206,0.2297791675,-0.056003903,-0.024133544,0,,,,,,,
v229,0.2688995155,0.0061392378,-0.057739174,-0.140143533,0,,,,,,,
