_NAME_,Factor1,Factor2,Factor3,Factor4,loaded,factor5,factor6,factor7,factor8,factor9,factor,pole
v001,-0.182061346,-0.420372282,-0.004059152,-0.030123814,1,,,,,,f2,-1
v002,0.2629679989,0.0616477502,-0.261104909,0.0555240876,0,,,,,,,
v003,-0.448627983,0.0843502862,-0.464347214,0.0200053087,1,,,,,,f3,-1
v004,-0.286881622,0.1818488889,-0.087207697,0.0709756253,0,,,,,,,
v005,0.5506348284,0.0057103897,-0.009971966,0.0242842551,1,,,,,,f1,1
v006,0.1795365281,0.3762460906,0.1703428289,-0.004600495,1,,,,,,f2,1
v007_1,0.0819892564,0.1812635686,-0.062794747,-0.001752125,0,,,,,,,
v007_2,0.0176343055,0.0742102723,-0.136461302,0.1300235583,0,,,,,,,
v007_3,0.1297632321,0.0128331344,-0.002115107,-0.087380306,0,,,,,,,
v007_4,0.0479225535,0.0237438216,0.0006519983,0.0236384548,0,,,,,,,
v008,0.1864954501,0.1066565598,0.0280303237,0.020610509,0,,,,,,,
v009,0.8240413796,-0.027358178,-0.03667018,-0.10714677,1,,,,,,f1,1
v010,0.5035287472,0.2325608492,-0.198805503,0.1877809426,1,,,,,,f1,1
v011,0.6201022097,0.128600785,0.0162641542,-0.115667426,1,,,,,,f1,1
v012,0.6050614168,-0.000968639,-0.022328019,-0.06153281,1,,,,,,f1,1
v013,0.591907052,0.119013029,-0.017366,-0.070860526,1,,,,,,f1,1
v014,0.362802643,0.1742374179,-0.240583194,0.1092222327,1,,,,,,f1,1
v015,0.1675184154,0.0666672732,0.0192607004,0.0239592874,0,,,,,,,
v016,-0.014187248,0.4199387259,0.2119007422,0.0897297921,1,,,,,,f2,1
v017,0.4868705804,0.2865481134,0.061882845,0.013434709,1,,,,,,f1,1
v018,0.0983889657,0.7196198348,0.0436701432,-0.06991574,1,,,,,,f2,1
v019,0.5698087312,0.086142823,-0.112071832,-0.1662553,1,,,,,,f1,1
v020,0.2959136106,0.4446256249,0.1262722368,0.0391892192,1,,,,,,f2,1
v021,0.0028978929,0.3325393276,-0.008533225,0.0630225573,1,,,,,,f2,1
v022,0.3362976083,0.4240153028,0.1740316665,-0.033536813,1,,,,,,f2,1
v023,0.7799673386,0.0647512966,-0.021650964,-0.055684822,1,,,,,,f1,1
v024,0.6608416254,-0.025358473,-0.075033931,-0.059809933,1,,,,,,f1,1
v025,0.5090016586,-0.0208545,-0.05489086,-0.241398526,1,,,,,,f1,1
v026,0.5710492438,0.0874657189,0.0344445203,0.0235574737,1,,,,,,f1,1
v027,0.4126696297,-0.175529296,-0.368858682,0.0871356896,1,,,,,,f1,1
v028,-0.683856498,-0.189422862,0.1839220079,-0.089668866,1,,,,,,f1,-1
v029,-0.635473763,-0.120031635,-0.088417573,-0.018039194,1,,,,,,f1,-1
v030,0.0968955202,-0.436775437,0.1740481656,-0.160233901,1,,,,,,f2,-1
v031,0.2763169389,0.0496169508,0.1543909268,0.118772645,0,,,,,,,
v032,-0.417732778,-0.150475789,0.0960021722,-0.05269286,1,,,,,,f1,-1
v033,-0.079736817,0.3167669041,-0.117408464,0.006514234,1,,,,,,f2,1
v034,-0.09064313,0.1889568443,-0.202125927,0.2368085063,0,,,,,,,
v035,-0.694973272,-0.24321259,0.0498400064,-0.105231017,1,,,,,,f1,-1
v036,-0.181456755,0.0162504339,-0.077398047,-0.113751849,0,,,,,,,
v037,-0.683381773,-0.235074726,0.0334022079,-0.07727776,1,,,,,,f1,-1
v038,-0.033683911,0.2522598448,-0.086314998,-0.030370623,0,,,,,,,
v039,-0.379129095,-0.036467537,0.1864306707,-0.001407404,1,,,,,,f1,-1
v040,-0.005275411,-0.37852212,0.3727816194,0.2437005473,1,,,,,,f2,-1
v041,-0.296831937,-0.130753176,-0.040239114,-0.042236325,0,,,,,,,
v042,-0.305877721,-0.248731155,-0.385514283,-0.103107256,1,,,,,,f3,-1
v043,0.2876000264,0.0885006078,-0.028161881,0.2290454694,0,,,,,,,
v044,-0.606423912,-0.167278847,-0.217636141,-0.092040917,1,,,,,,f1,-1
v045,-0.291602724,-0.13154481,-0.278062624,-0.022521073,0,,,,,,,
v046,-0.053934198,0.2959291978,-0.181395984,0.009906608,0,,,,,,,
v047,-0.179641912,-0.070829545,-0.363313025,-0.005325239,1,,,,,,f3,-1
v048,0.2995519487,-0.086728511,-0.130524879,0.0969950508,0,,,,,,,
v049,-0.161480829,0.0172816862,-0.160993636,0.0255389141,0,,,,,,,
v050,-0.122096157,0.2621341799,-0.300054975,0.0787739259,1,,,,,,f3,-1
v051,-0.523566783,-0.318385136,-0.323866682,-0.11399237,1,,,,,,f1,-1
v052,0.1035503551,0.216283909,-0.12259303,0.0427959549,0,,,,,,,
v053,-0.556954554,-0.202284655,-0.150605307,-0.077905403,1,,,,,,f1,-1
v054,-0.528335123,-0.1138067,-0.312112694,-0.035913198,1,,,,,,f1,-1
v055,0.7128807039,-0.328577893,0.3233079226,-0.084240688,1,,,,,,f1,1
v056,0.1226016999,0.5424619089,0.3227657753,0.1725302107,1,,,,,,f2,1
v057,0.2183370606,0.4296338649,0.1106873265,0.2458525892,1,,,,,,f2,1
v058,0.5986754499,-0.257238098,-0.099472314,0.2000616391,1,,,,,,f1,1
v059,0.5823626165,-0.02200963,-0.055371117,0.1139089292,1,,,,,,f1,1
v060,0.4838759504,-0.042876575,-0.183801763,0.2165227261,1,,,,,,f1,1
v061,0.6994023042,-0.054496596,-0.100269355,-0.033814028,1,,,,,,f1,1
v062,-0.196202543,-0.194835395,0.1853025891,-0.089417601,0,,,,,,,
v063,0.2200208223,0.2829151981,0.0473935319,0.1542689671,0,,,,,,,
v064,0.3756659755,0.147661531,0.029748512,-0.150218927,1,,,,,,f1,1
v065,-0.047387864,-0.008916751,0.763625829,-0.027199195,1,,,,,,f3,1
v066,0.1670378546,-0.37912426,0.4656447846,-0.211275635,1,,,,,,f3,1
v067,0.2517777839,0.1565298873,-0.148455646,-0.042211499,0,,,,,,,
v068,-0.126621024,-0.178262142,0.3093464739,-0.023732897,1,,,,,,f3,1
v069,0.7289197946,0.0657414138,-0.102612921,0.0170479695,1,,,,,,f1,1
v070,0.2430827958,-0.307539022,0.0087434806,0.1898336739,1,,,,,,f2,-1
v071,0.4654315946,-0.319154599,-0.031953645,0.0458452257,1,,,,,,f1,1
v072,0.4969856201,-0.057370486,-0.130346904,0.1314514234,1,,,,,,f1,1
v073,-0.086090385,-0.19548662,0.0822943469,0.126541562,0,,,,,,,
v074,-0.115259143,-0.051612152,0.5635327615,0.0690675905,1,,,,,,f3,1
v075,-0.137607959,-0.044779839,0.5275498531,-0.144130274,1,,,,,,f3,1
v076,-0.029453505,0.0101448816,0.2623778905,0.0157219661,0,,,,,,,
v077,0.1635613468,0.0237809338,0.3890764379,0.0565377979,1,,,,,,f3,1
v078,0.101384214,-0.084405349,-0.005837317,0.107612049,0,,,,,,,
v079,-0.2028682,0.2847489307,0.5852445058,-0.065597535,1,,,,,,f3,1
v080,0.7751112187,-0.23593876,-0.268692783,0.1287777406,1,,,,,,f1,1
v081,0.7580914669,-0.260564303,-0.221484733,0.1730630723,1,,,,,,f1,1
v082,0.4150400817,-0.19243489,-0.140108408,0.1811751234,1,,,,,,f1,1
v083,0.0950951776,0.0516689793,0.1225406835,-0.057219448,0,,,,,,,
v084,0.3505650605,0.2124898742,0.0359269678,-0.164629925,1,,,,,,f1,1
v085,0.2230440102,0.0010568579,0.1256155215,0.1453853322,0,,,,,,,
v086,0.4418443662,-0.036189819,-0.044240866,-0.172332056,1,,,,,,f1,1
v087,0.2565158826,0.0240049619,-0.038401002,-0.134860355,0,,,,,,,
v088,-0.214409055,0.2103801626,0.1481043736,0.2673789343,0,,,,,,,
v089,0.3276652021,-0.219372194,0.031224905,0.1867878321,1,,,,,,f1,1
v090,0.1976216191,0.0861240364,0.0894204482,0.00878849,0,,,,,,,
v091,-0.091486405,0.0786537302,-0.068970768,0.1284572001,0,,,,,,,
v092,0.1901586823,0.4160675225,0.0778013382,-0.097167516,1,,,,,,f2,1
v093,0.2673373658,-0.090894363,-0.113407977,0.0260600465,0,,,,,,,
v094,-0.041734187,-0.114317712,0.1109974131,-0.014484262,0,,,,,,,
v095,-0.353012355,0.1862771639,0.4571246909,0.1085576085,1,,,,,,f3,1
v096,-0.22368931,0.3259268931,-0.072060228,0.3698113357,1,,,,,,f4,1
v097,-0.03403333,0.3274860308,0.0714745224,0.317958125,1,,,,,,f2,1
v098,0.2369608267,-0.255692249,0.6590696379,-0.073046134,1,,,,,,f3,1
v099,0.2301658318,0.1735100389,0.061803764,-0.045993694,0,,,,,,,
v100,0.2196746744,0.3940045445,-0.122196021,-0.311218697,1,,,,,,f2,1
v101,-0.275447597,-0.0328748,0.314667466,0.1883925109,1,,,,,,f3,1
v102,0.7586076109,-0.042312265,0.2337578287,0.1217293551,1,,,,,,f1,1
v103,-0.179954447,0.069274747,0.1598560048,0.0749776171,0,,,,,,,
v104,-0.314344038,0.154806204,0.4528056489,0.0780417869,1,,,,,,f3,1
v105,-0.027904434,0.043831305,-0.014919439,-0.016950038,0,,,,,,,
v106,0.4421999769,0.1094121189,-0.008214247,0.0897215195,1,,,,,,f1,1
v107,0.467112303,0.0191061221,-0.071629459,-0.01468305,1,,,,,,f1,1
v108,-0.127619901,0.0823654852,-0.067878003,0.0112884961,0,,,,,,,
v109,0.3654389019,0.3833094742,-0.00325023,-0.075840605,1,,,,,,f2,1
v110,-0.170064753,-0.004239904,0.3969743972,0.0078629962,1,,,,,,f3,1
v111,0.5685572365,0.1288628094,0.185228925,-0.050391708,1,,,,,,f1,1
v112,0.0589861009,0.052819877,0.0283782461,0.188012637,0,,,,,,,
v113,0.0326723626,0.123519413,0.2146160644,-0.044956936,0,,,,,,,
v114,0.2823680378,0.2555132548,-0.120496484,-0.024338769,0,,,,,,,
v115,-0.015238539,0.1129139417,-0.048110504,0.0586143517,0,,,,,,,
v116,0.0200519532,0.1658332754,-0.064701584,0.0879749349,0,,,,,,,
v117,0.2037626776,0.0223679209,-0.052194328,0.0672671967,0,,,,,,,
v118,0.5327837697,0.1264658972,0.2039358013,-0.057098042,1,,,,,,f1,1
v119,0.3169717087,0.0461089348,-0.003970204,0.0312707406,1,,,,,,f1,1
v120,0.0662783565,0.0376080027,0.0242673796,0.1717512985,0,,,,,,,
v121,0.0266726536,0.1705686568,-0.060659509,0.0907479683,0,,,,,,,
v122,-0.020565728,0.0274505613,0.0112584967,0.0808649714,0,,,,,,,
v123,0.1778050081,0.0865066136,0.0914281717,0.0551965407,0,,,,,,,
v124,0.0927789776,0.1682832304,0.0516065425,0.0361966617,0,,,,,,,
v125,0.2919309589,0.364554805,0.0595215387,-0.082896415,1,,,,,,f2,1
v126,-0.147209581,0.11920539,0.1495119569,0.0706431809,0,,,,,,,
v127,-0.160998146,0.2956069968,-0.016377518,-0.112931955,0,,,,,,,
v128,-0.231624969,0.2457527858,-0.176839485,0.1377825897,0,,,,,,,
v129,-0.470337404,0.1174591844,-0.453924879,0.042070885,1,,,,,,f1,-1
v130,0.0618135777,0.3592631043,-0.030067334,0.0237107605,1,,,,,,f2,1
v131,-0.187954705,-0.605461282,0.106053595,-0.185235781,1,,,,,,f2,-1
v132,-0.029728761,0.2344270363,0.083553712,-0.01665339,0,,,,,,,
v133,0.3020141333,0.1058267737,-0.007332457,0.0589746965,1,,,,,,f1,1
v134,0.0596187157,0.3692590224,0.1222681605,0.1226307707,1,,,,,,f2,1
v135,0.2120750988,0.0592449816,0.1308188721,0.0249778942,0,,,,,,,
v136,-0.104389086,-0.169594282,0.2253822239,0.0652493509,0,,,,,,,
v137,0.275761208,-0.342418718,0.2712529397,0.0017195455,1,,,,,,f2,-1
v138,0.0031306623,0.0982559755,0.0108935953,0.011532304,0,,,,,,,
v139,-0.085405327,0.3242749006,0.0522770219,0.1048824849,1,,,,,,f2,1
v140,-0.173381776,0.0151076966,0.1163992572,0.0014429416,0,,,,,,,
v141,0.1401712471,-0.023094715,0.0877861221,0.7600419374,1,,,,,,f4,1
v142,-0.199421251,0.0670110729,0.3503215908,0.1622607549,1,,,,,,f3,1
v143,-0.396461701,-0.475394295,-0.034295089,-0.1476156,1,,,,,,f2,-1
v144,0.5504999556,-0.233585447,0.2709749104,-0.106307174,1,,,,,,f1,1
v145,-0.090147785,0.2007768385,0.0196272762,0.1069288974,0,,,,,,,
v146,-0.021324686,0.0670253428,-0.014867459,0.0622163395,0,,,,,,,
v147,0.096488502,0.7236771667,0.0453655805,-0.074288725,1,,,,,,f2,1
v148,0.1271960894,-0.049698377,0.0870414565,0.7678091811,1,,,,,,f4,1
v149,0.380532049,0.0608779186,-0.082493094,-0.100549604,1,,,,,,f1,1
v150,0.2406359529,-0.25858952,0.6318388021,-0.067352965,1,,,,,,f3,1
v151,0.2614305254,0.3309779617,-0.170947106,-0.326775366,1,,,,,,f2,1
v152,-0.047335002,-0.079622305,-0.044203045,-0.005195495,0,,,,,,,
v153,0.2437444164,0.1549918827,-0.078028949,-0.104455449,0,,,,,,,
v154,0.7576844178,-0.001449926,-0.02066885,-0.078058449,1,,,,,,f1,1
v155,0.1563792168,0.1058925586,0.0079529573,-0.048144807,0,,,,,,,
v156,-0.127888194,0.2427388869,-0.230072779,0.410580116,1,,,,,,f4,1
v157,0.0794851639,0.1724385831,0.0787385549,-0.055534803,0,,,,,,,
v158,0.0933147212,0.0912963061,0.0330922061,-0.088147163,0,,,,,,,
v159,0.2783091584,0.0893744558,0.029058234,-0.127585346,0,,,,,,,
v160,0.4389794287,0.0702921855,-0.045098966,-0.145810215,1,,,,,,f1,1
v161,0.245367772,0.023431046,-0.080388479,-0.029012729,0,,,,,,,
v162,-0.03931645,0.6395124995,0.0808190473,-0.090353933,1,,,,,,f2,1
v163,0.3531656825,0.2775450301,-0.027715635,-0.037649658,1,,,,,,f1,1
v164,0.0243839341,0.3635063715,0.047843332,0.0167251799,1,,,,,,f2,1
v165,-0.260442764,-0.108808495,0.0404333995,0.0883364209,0,,,,,,,
v166,0.1449792724,0.0008160649,-0.061704774,0.0168679844,0,,,,,,,
v167,0.0166369218,-0.237518769,0.2426506415,0.3506863344,1,,,,,,f4,1
v168,0.359006735,-0.027880254,-0.011746987,0.3846675701,1,,,,,,f4,1
v169,0.107861864,-0.032167708,-0.030943451,0.1478302434,0,,,,,,,
v170,0.0238918743,-0.061862875,0.0382526901,0.0740385472,0,,,,,,,
