filename,subcorpus,wcount,v001,v002,v003,v004,v005,v006,v007_1,v007_2,v007_3,v007_4,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v187,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v205,v206,v207,v208,v209,v210,v211,v212,v213,v214,v215,v216,v217,v218,v219,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v900,v901,v902,v903,v904,v905,v906,v907,v908,v909,v910,v911,v912,v913,v914,v915,v916,v917,v918,v919
32757.txt,maiores_notas,153,84.96732,0,124.183007,0,6.535948,19.607843,6.535948,0,0,0,0,6.535948,6.535948,0,0,0,0,0,0,0,6.535948,0,0,0,19.607843,6.535948,0,0,6.535948,45.751634,300.653595,111.111111,52.287582,39.215686,13.071895,19.607843,13.071895,71.895425,0,58.823529,71.895425,6.535948,52.287582,0,45.751634,0,45.751634,26.143791,0,0,0,19.607843,6.535948,84.96732,0,13.071895,45.751634,84.96732,19.607843,6.535948,0,0,0,0,6.535948,0,6.535948,13.071895,32.679739,26.143791,6.535948,0,0,0,0,0,6.535948,6.535948,0,0,0,58.823529,0,0,0,6.535948,6.535948,0,0,0,0,0,0,0,6.535948,0,0,13.071895,6.535948,0,39.215686,0,6.535948,13.071895,65.359477,0,13.071895,0,0,0,6.535948,6.535948,6.535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.535948,6.535948,98.039216,26.143791,124.183007,13.071895,19.607843,0,0,13.071895,0,0,6.535948,0,0,0,0,6.535948,19.607843,0,0,0,6.535948,0,0,39.215686,6.535948,0,0,0,0,6.535948,0,0,0,0,0,6.535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.071895,0,0,0,0,0,6.535948,13.071895,0,0,6.535948,0,0,0,0,0,0,0,6.535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.535948,0,0,0,209.150327,19.607843,346.405229,91.503268,117.647059,19.607843,248.366013,45.751634,19.607843,6.535948,6.535948,0,0,0,39.215686,0,13.071895,6.535948,19.607843,19.607843
32875.txt,maiores_notas,308,81.168831,12.987013,77.922078,6.493506,0,3.246753,0,0,0,0,3.246753,0,12.987013,0,0,0,12.987013,0,16.233766,0,12.987013,0,9.74026,3.246753,3.246753,6.493506,0,0,6.493506,19.480519,253.246753,162.337662,48.701299,35.714286,12.987013,9.74026,32.467532,55.194805,12.987013,38.961039,25.974026,3.246753,38.961039,6.493506,42.207792,19.480519,81.168831,35.714286,3.246753,22.727273,0,9.74026,16.233766,107.142857,0,71.428571,103.896104,71.428571,38.961039,25.974026,9.74026,3.246753,0,3.246753,16.233766,3.246753,9.74026,6.493506,35.714286,16.233766,3.246753,0,3.246753,0,6.493506,0,0,6.493506,0,0,0,45.454545,9.74026,6.493506,0,0,0,0,0,0,3.246753,0,0,0,0,0,0,3.246753,0,6.493506,35.714286,0,16.233766,16.233766,61.688312,3.246753,3.246753,0,16.233766,0,9.74026,9.74026,0,9.74026,0,6.493506,6.493506,0,3.246753,0,9.74026,0,0,3.246753,0,0,0,9.74026,16.233766,116.883117,22.727273,77.922078,12.987013,16.233766,0,12.987013,3.246753,0,0,0,0,0,9.74026,6.493506,6.493506,16.233766,3.246753,0,0,12.987013,6.493506,0,35.714286,9.74026,3.246753,0,12.987013,0,6.493506,0,0,0,3.246753,0,9.74026,3.246753,0,6.493506,0,3.246753,0,0,0,0,0,0,3.246753,0,0,0,6.493506,0,0,0,6.493506,0,0,6.493506,0,0,0,0,0,3.246753,16.233766,0,0,3.246753,9.74026,0,0,0,0,0,3.246753,6.493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.987013,0,0,172.077922,32.467532,272.727273,142.857143,126.623377,55.194805,217.532468,55.194805,6.493506,12.987013,9.74026,0,0,6.493506,35.714286,19.480519,6.493506,12.987013,68.181818,25.974026
33083.txt,maiores_notas,225,111.111111,13.333333,93.333333,4.444444,4.444444,13.333333,4.444444,0,0,0,0,0,4.444444,0,4.444444,0,0,0,4.444444,4.444444,0,0,8.888889,0,17.777778,0,0,0,0,8.888889,311.111111,115.555556,115.555556,40,8.888889,22.222222,0,62.222222,0,53.333333,31.111111,22.222222,53.333333,0,53.333333,17.777778,35.555556,35.555556,13.333333,0,0,0,13.333333,71.111111,0,17.777778,66.666667,97.777778,26.666667,17.777778,0,0,4.444444,0,17.777778,0,0,8.888889,40,8.888889,8.888889,0,0,0,0,0,4.444444,0,4.444444,4.444444,0,66.666667,4.444444,0,0,0,0,0,0,0,0,0,0,0,8.888889,0,0,17.777778,0,0,17.777778,0,8.888889,31.111111,71.111111,0,17.777778,0,8.888889,0,13.333333,0,13.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.888889,88.888889,4.444444,93.333333,0,40,4.444444,4.444444,4.444444,0,0,0,0,0,8.888889,0,4.444444,40,8.888889,4.444444,0,0,0,0,17.777778,8.888889,13.333333,0,0,0,4.444444,0,0,0,0,0,0,0,0,17.777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.777778,0,0,0,0,0,0,0,0,0,4.444444,4.444444,0,0,0,0,0,0,4.444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.777778,22.222222,320,102.222222,128.888889,31.111111,182.222222,71.111111,17.777778,0,4.444444,0,0,0,17.777778,0,8.888889,0,57.777778,0
33228.txt,maiores_notas,262,99.236641,11.450382,64.885496,3.816794,0,0,7.633588,15.267176,0,0,0,0,0,0,0,0,0,0,3.816794,0,38.167939,0,3.816794,7.633588,0,0,0,0,0,38.167939,255.725191,141.221374,95.419847,38.167939,7.633588,11.450382,19.083969,61.068702,3.816794,68.70229,45.801527,15.267176,61.068702,15.267176,118.320611,26.717557,34.351145,45.801527,3.816794,3.816794,0,11.450382,15.267176,103.053435,0,11.450382,76.335878,72.519084,22.900763,19.083969,7.633588,3.816794,0,7.633588,22.900763,0,0,7.633588,26.717557,7.633588,3.816794,0,7.633588,0,3.816794,0,7.633588,0,0,0,0,57.251908,22.900763,0,0,3.816794,0,0,0,0,3.816794,0,0,0,0,0,0,11.450382,0,3.816794,15.267176,0,3.816794,34.351145,83.969466,0,11.450382,0,3.816794,0,11.450382,0,0,3.816794,0,0,0,0,0,0,3.816794,0,0,0,0,0,0,0,0,95.419847,11.450382,64.885496,0,45.801527,0,0,11.450382,0,0,3.816794,0,0,11.450382,3.816794,0,41.984733,3.816794,3.816794,0,0,3.816794,0,15.267176,3.816794,3.816794,0,3.816794,0,15.267176,0,0,0,0,0,0,0,0,7.633588,0,0,0,0,0,0,3.816794,0,0,0,0,0,3.816794,0,0,0,0,0,0,7.633588,0,3.816794,0,0,0,0,7.633588,0,0,0,15.267176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.816794,0,0,0,110.687023,41.984733,293.89313,145.038168,106.870229,19.083969,167.938931,76.335878,19.083969,38.167939,0,0,0,3.816794,15.267176,3.816794,7.633588,0,53.435115,7.633588
33383.txt,maiores_notas,206,92.23301,9.708738,53.398058,4.854369,0,4.854369,9.708738,0,0,0,0,0,19.417476,0,0,0,0,0,19.417476,24.271845,9.708738,0,24.271845,0,24.271845,0,0,0,0,19.417476,242.718447,126.213592,43.68932,24.271845,9.708738,4.854369,9.708738,67.961165,0,67.961165,38.834951,14.563107,53.398058,9.708738,38.834951,29.126214,24.271845,29.126214,0,19.417476,0,0,14.563107,48.543689,0,9.708738,53.398058,92.23301,53.398058,24.271845,9.708738,4.854369,9.708738,0,24.271845,9.708738,0,29.126214,43.68932,0,4.854369,4.854369,4.854369,4.854369,0,9.708738,14.563107,4.854369,9.708738,4.854369,0,92.23301,0,0,0,4.854369,0,9.708738,0,0,9.708738,0,0,9.708738,0,0,0,24.271845,33.980583,9.708738,38.834951,0,0,38.834951,106.796117,4.854369,14.563107,0,9.708738,0,4.854369,4.854369,0,9.708738,0,0,4.854369,0,0,0,9.708738,0,0,0,0,0,0,4.854369,9.708738,87.378641,9.708738,58.252427,4.854369,33.980583,0,0,9.708738,0,0,0,0,19.417476,29.126214,19.417476,4.854369,29.126214,4.854369,0,0,9.708738,19.417476,0,38.834951,0,0,0,0,4.854369,33.980583,0,0,0,0,0,4.854369,4.854369,0,9.708738,0,4.854369,4.854369,0,0,0,4.854369,0,0,4.854369,0,0,19.417476,0,0,0,0,0,0,29.126214,0,0,0,0,0,0,0,0,0,14.563107,4.854369,0,0,0,0,0,0,19.417476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.563107,0,0,0,155.339806,72.815534,262.135922,97.087379,179.61165,29.126214,150.485437,87.378641,58.252427,9.708738,19.417476,0,0,19.417476,38.834951,19.417476,29.126214,4.854369,77.669903,0
33669.txt,maiores_notas,190,152.631579,10.526316,73.684211,0,0,5.263158,31.578947,0,0,0,0,0,0,0,0,0,0,0,15.789474,0,26.315789,0,15.789474,0,5.263158,26.315789,0,0,26.315789,36.842105,300,152.631579,84.210526,21.052632,26.315789,0,10.526316,42.105263,21.052632,52.631579,57.894737,21.052632,42.105263,26.315789,26.315789,15.789474,31.578947,15.789474,0,0,0,0,0,26.315789,0,21.052632,31.578947,84.210526,31.578947,21.052632,5.263158,0,0,5.263158,5.263158,5.263158,5.263158,10.526316,63.157895,5.263158,0,0,0,0,0,0,5.263158,5.263158,0,0,0,47.368421,10.526316,0,0,5.263158,0,0,0,0,0,0,0,0,10.526316,0,0,15.789474,0,0,26.315789,0,21.052632,15.789474,63.157895,0,15.789474,0,0,0,5.263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526316,110.526316,5.263158,78.947368,0,52.631579,0,0,0,0,5.263158,0,0,0,0,0,5.263158,47.368421,5.263158,0,0,21.052632,0,0,26.315789,15.789474,0,0,0,0,0,0,0,0,0,0,15.789474,5.263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526316,0,0,0,0,0,5.263158,10.526316,0,0,0,0,0,0,0,0,0,10.526316,5.263158,0,0,0,0,0,0,0,0,0,10.526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.842105,42.105263,331.578947,42.105263,126.315789,15.789474,194.736842,63.157895,15.789474,21.052632,15.789474,10.526316,0,0,26.315789,0,10.526316,0,63.157895,0
33849.txt,maiores_notas,246,73.170732,8.130081,77.235772,12.195122,4.065041,8.130081,8.130081,0,0,0,0,0,4.065041,4.065041,0,4.065041,4.065041,0,4.065041,4.065041,12.195122,4.065041,8.130081,12.195122,12.195122,0,0,0,0,28.455285,264.227642,138.211382,44.715447,36.585366,12.195122,8.130081,28.455285,60.97561,0,69.105691,44.715447,16.260163,40.650407,4.065041,28.455285,20.325203,56.910569,12.195122,8.130081,0,0,8.130081,20.325203,65.04065,12.195122,32.520325,69.105691,97.560976,44.715447,24.390244,4.065041,8.130081,8.130081,0,0,8.130081,12.195122,8.130081,48.780488,8.130081,0,8.130081,0,0,0,0,4.065041,0,0,8.130081,0,60.97561,4.065041,0,0,0,0,0,0,0,4.065041,0,0,0,24.390244,0,0,16.260163,12.195122,0,36.585366,4.065041,20.325203,32.520325,65.04065,0,16.260163,0,12.195122,0,12.195122,0,0,8.130081,0,0,0,0,4.065041,0,8.130081,0,0,4.065041,0,0,4.065041,0,12.195122,105.691057,44.715447,85.365854,4.065041,16.260163,0,4.065041,16.260163,0,0,0,0,0,0,4.065041,4.065041,12.195122,4.065041,4.065041,0,12.195122,4.065041,4.065041,40.650407,16.260163,12.195122,4.065041,8.130081,0,12.195122,0,0,0,4.065041,0,4.065041,0,8.130081,16.260163,0,0,4.065041,0,0,0,0,0,0,0,0,0,4.065041,0,0,0,0,0,0,8.130081,0,4.065041,0,0,0,0,20.325203,0,0,4.065041,8.130081,0,0,0,0,4.065041,0,8.130081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.195122,0,0,0,158.536585,32.520325,292.682927,105.691057,150.406504,36.585366,227.642276,44.715447,28.455285,12.195122,12.195122,0,0,4.065041,40.650407,4.065041,8.130081,4.065041,93.495935,28.455285
33879.txt,maiores_notas,377,90.185676,10.61008,58.355438,2.65252,7.95756,13.262599,18.567639,2.65252,0,0,0,13.262599,15.915119,13.262599,10.61008,0,2.65252,0,7.95756,5.30504,7.95756,0,10.61008,0,13.262599,15.915119,7.95756,0,7.95756,76.923077,190.981432,119.363395,63.660477,92.838196,2.65252,0,0,34.482759,0,29.177719,7.95756,0,74.270557,0,31.830239,26.525199,18.567639,26.525199,7.95756,5.30504,0,5.30504,10.61008,37.135279,7.95756,2.65252,37.135279,135.278515,37.135279,23.872679,10.61008,5.30504,2.65252,15.915119,21.220159,5.30504,7.95756,10.61008,50.397878,10.61008,0,0,0,2.65252,2.65252,0,5.30504,5.30504,0,2.65252,0,37.135279,37.135279,18.567639,2.65252,2.65252,5.30504,15.915119,0,0,0,2.65252,0,2.65252,5.30504,0,0,10.61008,0,5.30504,37.135279,0,15.915119,13.262599,111.405836,2.65252,7.95756,0,13.262599,0,5.30504,26.525199,2.65252,13.262599,0,0,13.262599,0,2.65252,0,10.61008,2.65252,0,2.65252,0,0,2.65252,26.525199,13.262599,82.228117,13.262599,68.965517,7.95756,39.787798,0,10.61008,0,2.65252,0,0,0,0,5.30504,2.65252,0,31.830239,10.61008,2.65252,0,7.95756,0,0,37.135279,15.915119,0,5.30504,21.220159,0,2.65252,0,0,2.65252,0,0,2.65252,2.65252,0,5.30504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65252,0,15.915119,0,0,0,0,0,0,13.262599,0,0,2.65252,13.262599,0,0,0,0,2.65252,0,2.65252,2.65252,0,0,0,0,5.30504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95756,0,0,100.795756,63.660477,267.904509,74.270557,177.718833,66.312997,164.456233,63.660477,10.61008,7.95756,7.95756,5.30504,0,0,37.135279,0,10.61008,15.915119,66.312997,31.830239
33890.txt,maiores_notas,190,110.526316,5.263158,84.210526,0,5.263158,10.526316,5.263158,0,0,0,0,0,36.842105,0,0,0,21.052632,0,5.263158,0,15.789474,0,15.789474,5.263158,5.263158,0,0,0,0,15.789474,242.105263,142.105263,78.947368,36.842105,15.789474,0,0,63.157895,5.263158,68.421053,36.842105,5.263158,73.684211,0,31.578947,21.052632,57.894737,42.105263,0,0,0,10.526316,0,78.947368,0,5.263158,63.157895,100,31.578947,31.578947,0,10.526316,0,0,10.526316,0,21.052632,5.263158,36.842105,10.526316,0,5.263158,0,0,5.263158,0,5.263158,0,0,5.263158,0,42.105263,21.052632,5.263158,0,0,0,0,0,0,0,0,0,10.526316,21.052632,0,10.526316,0,15.789474,0,26.315789,0,21.052632,21.052632,68.421053,0,0,0,0,0,5.263158,15.789474,10.526316,5.263158,0,5.263158,15.789474,5.263158,0,0,5.263158,0,0,0,0,0,0,10.526316,0,78.947368,21.052632,84.210526,10.526316,26.315789,0,10.526316,5.263158,0,0,0,0,0,5.263158,0,0,26.315789,5.263158,0,5.263158,15.789474,0,0,26.315789,21.052632,10.526316,0,0,0,36.842105,0,0,0,0,0,5.263158,10.526316,0,5.263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263158,0,0,0,0,0,0,5.263158,0,0,21.052632,15.789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263158,0,0,115.789474,68.421053,284.210526,110.526316,131.578947,42.105263,173.684211,52.631579,15.789474,15.789474,0,0,0,0,26.315789,0,5.263158,21.052632,68.421053,10.526316
33895.txt,maiores_notas,385,77.922078,12.987013,54.545455,23.376623,0,7.792208,0,0,0,0,0,2.597403,7.792208,5.194805,2.597403,2.597403,7.792208,0,7.792208,2.597403,23.376623,2.597403,20.779221,5.194805,7.792208,7.792208,0,0,5.194805,12.987013,275.324675,148.051948,96.103896,28.571429,5.194805,7.792208,5.194805,38.961039,2.597403,28.571429,20.779221,7.792208,54.545455,2.597403,25.974026,18.181818,7.792208,18.181818,2.597403,2.597403,0,0,5.194805,23.376623,2.597403,2.597403,23.376623,127.272727,72.727273,20.779221,5.194805,0,2.597403,5.194805,18.181818,10.38961,5.194805,10.38961,41.558442,10.38961,0,0,0,2.597403,2.597403,0,7.792208,2.597403,0,0,0,72.727273,12.987013,0,0,5.194805,0,2.597403,0,0,2.597403,7.792208,0,41.558442,0,0,0,36.363636,0,10.38961,46.753247,5.194805,7.792208,57.142857,98.701299,10.38961,25.974026,0,0,0,2.597403,12.987013,2.597403,12.987013,0,5.194805,7.792208,2.597403,2.597403,0,12.987013,2.597403,0,2.597403,0,0,5.194805,12.987013,7.792208,109.090909,5.194805,64.935065,0,33.766234,0,7.792208,2.597403,2.597403,0,0,0,5.194805,2.597403,5.194805,5.194805,28.571429,5.194805,0,7.792208,23.376623,0,2.597403,41.558442,7.792208,0,0,0,0,2.597403,0,0,0,0,0,15.584416,5.194805,2.597403,7.792208,0,0,0,0,0,0,0,0,0,5.194805,0,0,5.194805,0,0,0,2.597403,0,0,0,0,2.597403,7.792208,2.597403,0,5.194805,15.584416,0,0,5.194805,7.792208,0,0,0,0,0,0,5.194805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.194805,0,0,0,90.909091,67.532468,288.311688,49.350649,210.38961,51.948052,179.220779,67.532468,36.363636,23.376623,5.194805,0,0,5.194805,49.350649,5.194805,10.38961,15.584416,116.883117,0
