filename,subcorpus,f1,f2,f3,f4
35497.txt,maiores_notas,-2.722128992,19.593515661,-2.454632698,11.681669868
35633.txt,menores_notas,113.79599597,13.994548046,9.4105792445,-0.155274288
35633_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.329400502,-7.049613746,-6.032753756,2.6395943797
35633_composicao_gpt-5.6-sol.txt,menores_notas_gpt,89.798857417,2.1874991819,6.2854793972,-3.16977759
35647.txt,maiores_notas,37.542788474,6.6307961736,-4.507534309,0.6460369992
35661.txt,menores_notas,104.65872861,7.0862790119,-1.80622391,6.0538442406
35661_composicao_gpt-5.6-sol.txt,menores_notas_gpt,59.067307628,-8.493699636,9.0219213356,1.9873985022
35734.txt,maiores_notas,90.369159112,8.4543587177,6.9928461783,-4.581539219
35820.txt,menores_notas,4.6112597228,47.379999026,0.0312735498,27.423565979
35906.txt,menores_notas,-1.659385061,17.42060486,0.9494374716,10.029972019
35911.txt,menores_notas,43.835401859,14.798724728,-7.304686677,0.208750907
35911_composicao_gpt-5.6-sol.txt,menores_notas_gpt,46.803331224,-12.20250886,5.8504269189,6.4389025121
35934.txt,maiores_notas,-6.649406393,1.4170293126,-2.509591161,14.075056049
35994.txt,maiores_notas,-15.08761838,3.0901992978,-4.18867797,14.094188418
36000.txt,menores_notas,-5.278888135,34.458103126,7.4267215048,-3.055219025
36006.txt,maiores_notas,-3.354097909,9.2748921737,-6.130117671,9.9392572911
36030.txt,maiores_notas,-8.658342818,7.6205191412,1.7945047144,21.936887675
36181.txt,menores_notas,50.961975948,36.532379328,8.6459446972,3.5496420766
36181_composicao_gpt-5.6-sol.txt,menores_notas_gpt,46.536493069,-1.338643971,4.468664403,9.1731803259
36225.txt,menores_notas,-5.970289761,33.713563631,-6.282342141,-7.948165192
36237.txt,maiores_notas,82.838142257,-7.398586467,-3.936241732,-3.121637555
36260.txt,maiores_notas,76.658526151,16.955379844,1.4438238461,-7.351802207
36330.txt,maiores_notas,-19.28835134,8.1537876842,-8.540130018,15.306861201
36341.txt,menores_notas,-7.890438005,3.7271031195,7.6951496499,33.782890843
36436.txt,maiores_notas,84.201819998,18.956653936,0.1907092581,12.974199096
36524.txt,menores_notas,118.14283137,17.483650066,9.8709613105,6.0205712554
36524_composicao_gpt-5.6-sol.txt,menores_notas_gpt,87.141250718,-10.59449678,7.1467384105,15.396154876
36551.txt,maiores_notas,51.338156159,-5.7209028,-5.324173027,-6.490410938
36560.txt,maiores_notas,57.777755371,-7.410617769,0.1191889003,-2.492135716
36577.txt,maiores_notas,39.737076102,3.2426749422,9.8673995767,-2.591995729
36742.txt,menores_notas,4.8771669002,35.355395926,0.6942330894,0.7559575617
36743.txt,maiores_notas,-8.554547185,12.073545824,8.5114125843,14.176284421
36769.txt,maiores_notas,38.454176878,19.087375922,3.1127910109,-5.166512183
36797.txt,menores_notas,63.95222967,11.903917036,6.2400630675,10.494475839
36797_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.07450833,-15.74240553,-4.898232386,19.719483038
36797_composicao_gpt-5.6-sol.txt,menores_notas_gpt,46.88784147,-4.907713397,6.5370039096,1.2296591245
36872.txt,menores_notas,17.471218965,36.212612813,6.2799650149,-7.948165192
36926.txt,maiores_notas,113.90940929,7.5474343705,13.875363262,1.2924702536
37043.txt,menores_notas,59.834965664,3.2797658503,4.9974515287,-7.948165192
37043_composicao_gpt-5.6-sol.txt,menores_notas_gpt,55.748742283,-11.8902979,2.9418629932,5.5075775593
37126.txt,maiores_notas,82.689695087,14.012194069,8.4184679268,0.1131519922
37193.txt,maiores_notas,1.1171649275,-2.438881401,-1.824658013,13.08911467
37212.txt,menores_notas,59.422816586,15.75583318,-6.639678901,-3.228506181
37260.txt,menores_notas,90.838234328,38.413062381,18.852281381,5.8607242019
37284.txt,maiores_notas,0.8667750424,14.543243611,-8.409280681,25.78837302
37293.txt,maiores_notas,56.020108623,12.770198005,3.2513313922,15.165069893
37345.txt,menores_notas,15.026972028,33.970130266,7.8895731099,-2.34056699
37362.txt,maiores_notas,65.405806238,3.7438049435,12.733356548,10.387771957
37416.txt,maiores_notas,58.114413086,9.9725594637,-3.520259348,3.1975166017
37480.txt,maiores_notas,91.425567695,-0.53242273,-11.38697669,4.7772943773
37489.txt,menores_notas,114.11811934,26.059418554,-1.665866669,2.3254280475
37489_composicao_gemini-3.6-flash.txt,menores_notas_gemini,39.423737182,0.9191791164,-7.642753286,3.0237686416
37489_composicao_gpt-5.6-sol.txt,menores_notas_gpt,73.268615626,-1.156858517,4.5096248145,3.949560916
37605.txt,maiores_notas,-10.31205321,2.6553119163,-6.477548385,12.895299451
37612.txt,maiores_notas,115.43434659,2.0899700485,9.0514527088,7.5659881253
37662.txt,maiores_notas,88.108902906,8.2009590013,-2.234330502,-3.589077155
37677.txt,menores_notas,63.253372365,13.866053885,12.856343605,10.602658213
37753.txt,maiores_notas,79.373012734,-6.913142817,3.8189888247,-2.2246406
37754.txt,maiores_notas,131.53936857,16.379293285,9.6531892412,-4.48757065
37817.txt,maiores_notas,91.561603075,10.271705096,4.9582787857,2.6248993353
37961.txt,maiores_notas,71.345725214,2.7499038641,3.807271131,-4.847225318
37994.txt,menores_notas,92.56223144,21.59504749,-4.671241298,4.3631184494
37994_composicao_gpt-5.6-sol.txt,menores_notas_gpt,57.686542962,-11.80488285,0.8400904646,5.903042076
37999.txt,menores_notas,71.453874034,4.0779315631,-9.569534441,10.365803927
37999_composicao_gemini-3.6-flash.txt,menores_notas_gemini,56.132191236,-8.518516847,-7.171934989,7.5207994642
37999_composicao_gpt-5.6-sol.txt,menores_notas_gpt,67.783257969,-10.41369884,-2.706762653,9.1053880794
38002.txt,menores_notas,41.764358915,0.6011691138,10.885951719,-1.99566904
38002_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.157125144,-14.1284668,6.7177131401,12.696715113
38172.txt,menores_notas,85.583411531,15.170250617,-3.145197106,8.4924072314
38172_composicao_gpt-5.6-sol.txt,menores_notas_gpt,52.265758724,-16.91325205,7.797010258,3.6674616445
38226.txt,menores_notas,48.298871968,10.473765039,9.0351605937,-0.03805265
38333.txt,maiores_notas,-21.60373622,4.8648634058,-4.133702263,13.287616124
38392.txt,maiores_notas,51.11335247,-3.241659517,-6.220316645,6.9601283665
38451.txt,menores_notas,-29.92690688,13.215851521,-25.32475554,7.7236460438
38493.txt,maiores_notas,57.593219026,-0.629109633,3.7562547662,-1.869614579
38536.txt,menores_notas,4.2842311487,30.321113814,2.5981856423,24.270277119
38612.txt,maiores_notas,103.72297284,8.4667279355,12.784689769,7.872246617
38632_composicao_gpt-5.6-sol.txt,menores_notas_gpt,40.882940568,-12.23997387,-1.970837878,1.2510169985
38637.txt,menores_notas,41.044293032,2.5552905124,14.277771169,-0.762618963
38677.txt,menores_notas,45.085616133,23.393039366,-5.895696373,4.7040477783
38784.txt,maiores_notas,88.165448062,9.662232735,1.933384748,3.3722933507
38794.txt,menores_notas,14.146626318,17.185293688,28.855009266,7.2210655349
38845.txt,maiores_notas,-9.943808808,10.287770308,3.6249596864,16.974513758
38917.txt,menores_notas,-2.538213171,2.6434582512,-3.116987936,14.376615854
38957.txt,menores_notas,61.348248161,20.639878776,2.5405952471,-6.247451955
38957_composicao_gpt-5.6-sol.txt,menores_notas_gpt,52.623353039,-6.499318844,8.5471887775,1.3855057659
39063.txt,menores_notas,20.179711934,39.792014094,12.409863596,-1.534987614
39065.txt,menores_notas,11.202406445,34.552126313,13.613636964,-7.185853282
39108.txt,maiores_notas,77.050261066,14.630274227,3.5274369676,0.7883215812
39124_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.228695314,-8.911936934,3.3206691136,1.9437943236
39164.txt,menores_notas,85.143633806,21.073306126,-0.365338895,-3.468789448
39302.txt,menores_notas,39.987993587,29.407913691,-2.269424868,-6.619811559
39349.txt,menores_notas,-7.123305887,34.229945594,33.648190298,-7.948165192
39379.txt,menores_notas,42.152550353,21.289165367,10.515069153,-1.007389898
39465.txt,maiores_notas,89.677042517,20.340371402,-0.16220258,-2.155583877
39509.txt,maiores_notas,-6.263425855,17.50817066,9.9364518051,19.970807668
39516.txt,menores_notas,125.03157228,35.777796677,14.128285391,1.650277427
39648.txt,menores_notas,36.289297976,16.383409256,23.809438168,5.8591961349
39650.txt,maiores_notas,40.87519056,-7.821059234,1.7164095795,-1.030513378
39684.txt,maiores_notas,-1.957194253,10.805021031,7.71297,12.721587317
39715.txt,maiores_notas,-14.46568304,-5.69383987,-6.595170698,16.440820847
39722.txt,menores_notas,43.76987793,5.9000007195,3.5855584431,9.363389469
39912.txt,menores_notas,57.834819737,11.88818122,-1.819374098,5.0189957798
39912_composicao_gpt-5.6-sol.txt,menores_notas_gpt,60.775114874,-16.27180609,-0.256347446,0.70523286
39956.txt,menores_notas,-16.68547081,15.306482273,1.4210397315,11.640382292
40140.txt,maiores_notas,-5.535139773,7.1239760535,5.219292473,17.598463329
40173.txt,maiores_notas,79.855939777,5.9101365616,5.7668896323,2.2674016743
40256.txt,menores_notas,95.090265622,37.606067379,0.6405131668,6.3608581197
40362.txt,menores_notas,146.67358557,7.0648731654,16.700281211,13.339801717
40426.txt,menores_notas,39.093361839,16.444402646,22.349322563,-1.261582289
40461.txt,menores_notas,37.833608314,9.0460693789,6.5449032016,8.907601199
40496.txt,menores_notas,5.6807033285,37.818462368,-2.155620139,-1.804047456
40548.txt,maiores_notas,82.043305394,20.497276634,3.1224941653,12.279942984
40617.txt,menores_notas,87.875790095,11.786163653,5.8026701615,1.3041190114
40617_composicao_gpt-5.6-sol.txt,menores_notas_gpt,67.152209118,-11.27233067,1.765566702,7.9513229048
40621.txt,maiores_notas,97.14238229,17.048850686,2.761424328,4.4193448965
40676.txt,maiores_notas,67.521335593,-5.181414951,1.2800618931,-2.728863379
40772.txt,maiores_notas,2.9248205089,5.8654277289,-10.53382161,19.134874559
40929.txt,menores_notas,36.31560239,12.540023556,10.43639948,21.480524626
40929_composicao_gpt-5.6-sol.txt,menores_notas_gpt,37.746190267,-9.392153806,2.0713127671,-1.392254454
40943.txt,maiores_notas,102.73763819,14.826133847,10.794453744,2.0616452221
41093.txt,menores_notas,0.7418320416,1.3623225106,-3.769060251,21.563306584
45015.txt,maiores_notas,112.25423287,4.2226499606,18.627465749,11.092007694
45044.txt,menores_notas,-6.438844237,33.787021471,4.8367049783,-3.620776302
45081.txt,maiores_notas,63.40865411,1.8876995258,7.7773938732,16.174015072
45241.txt,menores_notas,122.27884698,-5.578357449,15.571094601,-5.886688955
45241_composicao_gemini-3.6-flash.txt,menores_notas_gemini,40.887165743,-0.803950396,-4.760982276,-0.278365697
45241_composicao_gpt-5.6-sol.txt,menores_notas_gpt,47.615981951,-17.51765226,1.5118989598,4.3183621127
45268.txt,menores_notas,58.419802395,36.665201638,14.856505551,-5.594812725
46034.txt,menores_notas,42.817610148,15.98645434,-13.40160423,-3.100431865
46108.txt,menores_notas,-4.527488521,6.5454491626,5.6426935672,24.325156838
46255.txt,menores_notas,40.563660927,4.6026183114,7.7584694504,-3.750260099
46255_composicao_gpt-5.6-sol.txt,menores_notas_gpt,48.494692664,-12.58114163,2.1972408422,4.9759975041
46273.txt,menores_notas,26.673272157,39.022757102,1.4458682555,6.469694021
46290.txt,menores_notas,38.4356902,23.108196789,17.120562852,0.4965618664
46479.txt,maiores_notas,68.076994893,2.9256432922,-8.880274467,3.8842167636
46626.txt,menores_notas,8.7262762476,20.999851081,-2.339747054,10.420863552
46687.txt,menores_notas,-20.21616743,14.667607374,-2.076147472,18.885078437
46711.txt,maiores_notas,56.202797514,8.7907729457,-3.905330113,-2.274381728
46771.txt,maiores_notas,-15.93108233,-7.6315492,1.2453113509,21.93313825
47046.txt,menores_notas,38.05798725,15.273957853,3.8973478669,15.229771946
