filename,subcorpus,f1,f2,f3,f4
32714.txt,menores_notas,32.015705889,35.964372044,5.0576246644,-2.770160962
32860.txt,menores_notas,86.52633996,2.1895245505,3.7778142853,7.9265298668
32860_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.394726788,-11.36345191,-7.731385422,5.8946196124
32860_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.841799768,-9.186387494,-0.78115033,-0.108346899
33383.txt,maiores_notas,-1.745744521,18.811063118,16.427199558,21.601443091
33645.txt,menores_notas,57.931796052,37.56360162,17.850413604,-2.23147669
33787.txt,menores_notas,41.076067009,-1.642059144,-7.498005897,-7.948165192
33789.txt,menores_notas,38.195049975,37.662026595,14.071562638,-3.181447676
33856.txt,menores_notas,67.947213558,30.888418288,4.1360206946,-2.98619538
33856_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.090796842,-5.396642056,-3.687430734,3.1197335968
33862.txt,menores_notas,39.094162653,-0.517456769,2.5898890044,2.9818891352
33862_composicao_gpt-5.6-sol.txt,menores_notas_gpt,49.058037534,-10.23720655,-3.522519883,5.1932907633
33879.txt,maiores_notas,41.798285103,11.714367346,-0.121619633,-4.409901532
33927.txt,maiores_notas,-1.760337704,4.3850052414,26.327655173,4.1691003282
33999.txt,maiores_notas,3.0192807732,9.7805519417,-2.289357041,11.961416687
34050.txt,maiores_notas,72.97147023,0.5892801153,1.3340979117,12.534290554
34084.txt,maiores_notas,116.19662132,14.041155434,8.4392002576,1.142262491
34096.txt,maiores_notas,18.085908201,35.733813297,14.540551008,-4.03548415
34185.txt,menores_notas,81.360729511,30.486690275,11.294713931,3.6409268419
34273.txt,menores_notas,29.707033274,33.813406131,8.1170385528,-1.04494802
34277.txt,maiores_notas,87.899685568,27.957941912,16.130052575,13.554293422
34356.txt,menores_notas,66.381245314,15.195135815,-9.765051874,-3.865367991
34362.txt,menores_notas,31.442935781,29.073046593,-2.153147553,18.568403493
34511.txt,maiores_notas,57.380748697,21.307405178,6.3555402685,0.1416256533
34613.txt,menores_notas,59.868677872,30.328559632,2.7224993551,11.663688759
34613_composicao_gpt-5.6-sol.txt,menores_notas_gpt,67.117884103,-2.140934158,13.386123307,13.86056143
34616.txt,menores_notas,10.937449262,20.830939377,13.49296113,11.268685675
34642.txt,menores_notas,15.291518234,13.882727261,7.3284551871,10.417754901
34717.txt,maiores_notas,42.491539133,-10.29683819,-14.10061349,11.109087474
34754.txt,maiores_notas,81.101199943,8.0833504793,-13.18804459,6.0424486264
34807_composicao_gpt-5.6-sol.txt,menores_notas_gpt,39.522553956,-10.16286815,5.4240806727,7.5154424513
34832.txt,maiores_notas,-13.91517904,10.475953464,7.1521179344,10.879775525
34841.txt,maiores_notas,48.466005793,2.9129181382,-4.224534694,-5.040910379
34967.txt,maiores_notas,13.074072903,3.1897534777,-2.226963329,13.418403026
35019.txt,menores_notas,-0.447627306,-4.188185836,-5.932631752,10.969625469
35056.txt,menores_notas,122.03885818,27.520123443,13.475225833,11.748544643
35056_composicao_gemini-3.6-flash.txt,menores_notas_gemini,57.181913164,-6.45775696,-0.555097115,5.3624319519
35056_composicao_gpt-5.6-sol.txt,menores_notas_gpt,72.831818915,-3.359744105,0.1529268362,3.3715136158
35131.txt,menores_notas,43.054201045,26.434009514,26.177236936,5.5558670113
35136.txt,menores_notas,79.484003534,16.154322128,19.494063827,1.7352575825
35136_composicao_gpt-5.6-sol.txt,menores_notas_gpt,64.048366272,-4.889907417,13.856816557,2.879312774
35163.txt,menores_notas,78.870796916,-4.344224355,-1.435806976,4.6910967814
35163_composicao_gpt-5.6-sol.txt,menores_notas_gpt,55.126207197,-16.48789208,-7.151684732,7.4739193123
35173.txt,menores_notas,1.7106471791,38.074231783,9.9429540617,4.608685205
35198.txt,menores_notas,5.1221221639,17.242470333,30.322548762,5.7545042683
35278.txt,menores_notas,67.985027812,18.257350652,9.7839010185,-2.602066811
35457.txt,menores_notas,53.90287138,-3.190810883,6.9968034481,17.037085422
35457_composicao_gemini-3.6-flash.txt,menores_notas_gemini,15.994348125,-11.23625656,-12.77894512,10.57362397
35457_composicao_gpt-5.6-sol.txt,menores_notas_gpt,58.140959339,-3.148410275,8.5884710207,2.7665764648
