filename,subcorpus,f2
36225.txt,menores_notas,33.713563631
45044.txt,menores_notas,33.787021471
34273.txt,menores_notas,33.813406131
37345.txt,menores_notas,33.970130266
39349.txt,menores_notas,34.229945594
36000.txt,menores_notas,34.458103126
39065.txt,menores_notas,34.552126313
36742.txt,menores_notas,35.355395926
34096.txt,maiores_notas,35.733813297
39516.txt,menores_notas,35.777796677
32714.txt,menores_notas,35.964372044
36872.txt,menores_notas,36.212612813
36181.txt,menores_notas,36.532379328
45268.txt,menores_notas,36.665201638
33645.txt,menores_notas,37.56360162
40256.txt,menores_notas,37.606067379
33789.txt,menores_notas,37.662026595
40496.txt,menores_notas,37.818462368
35173.txt,menores_notas,38.074231783
37260.txt,menores_notas,38.413062381
46273.txt,menores_notas,39.022757102
39063.txt,menores_notas,39.792014094
35820.txt,menores_notas,47.379999026
