type,_NAME_,loading,table
primary,v035,-0.694973272,f1neg
primary,v028,-0.683856498,f1neg
primary,v037,-0.683381773,f1neg
primary,v029,-0.635473763,f1neg
primary,v044,-0.606423912,f1neg
primary,v053,-0.556954554,f1neg
primary,v054,-0.528335123,f1neg
primary,v051,-0.523566783,f1neg
primary,v129,-0.470337404,f1neg
primary,v032,-0.417732778,f1neg
primary,v039,-0.379129095,f1neg
primary,v009,0.8240413796,f1pos
primary,v023,0.7799673386,f1pos
primary,v080,0.7751112187,f1pos
primary,v102,0.7586076109,f1pos
primary,v081,0.7580914669,f1pos
primary,v154,0.7576844178,f1pos
primary,v069,0.7289197946,f1pos
primary,v055,0.7128807039,f1pos
primary,v061,0.6994023042,f1pos
primary,v024,0.6608416254,f1pos
primary,v011,0.6201022097,f1pos
primary,v012,0.6050614168,f1pos
primary,v058,0.5986754499,f1pos
primary,v013,0.591907052,f1pos
primary,v059,0.5823626165,f1pos
primary,v209,0.5822013659,f1pos
primary,v026,0.5710492438,f1pos
primary,v019,0.5698087312,f1pos
primary,v111,0.5685572365,f1pos
primary,v195,0.554839876,f1pos
primary,v005,0.5506348284,f1pos
primary,v144,0.5504999556,f1pos
primary,v118,0.5327837697,f1pos
primary,v025,0.5090016586,f1pos
primary,v010,0.5035287472,f1pos
primary,v072,0.4969856201,f1pos
primary,v017,0.4868705804,f1pos
primary,v060,0.4838759504,f1pos
primary,v107,0.467112303,f1pos
primary,v071,0.4654315946,f1pos
primary,v182,0.4508131126,f1pos
primary,v106,0.4421999769,f1pos
primary,v086,0.4418443662,f1pos
primary,v160,0.4389794287,f1pos
primary,v082,0.4150400817,f1pos
primary,v027,0.4126696297,f1pos
primary,v183,0.4082920408,f1pos
primary,v149,0.380532049,f1pos
primary,v208,0.3772613949,f1pos
primary,v064,0.3756659755,f1pos
primary,v014,0.362802643,f1pos
primary,v163,0.3531656825,f1pos
primary,v084,0.3505650605,f1pos
primary,v089,0.3276652021,f1pos
primary,v119,0.3169717087,f1pos
primary,v133,0.3020141333,f1pos
secondary,v003,-0.448627983,f1neg
secondary,v143,-0.396461701,f1neg
secondary,v095,-0.353012355,f1neg
secondary,v104,-0.314344038,f1neg
secondary,v042,-0.305877721,f1neg
secondary,v109,0.3654389019,f1pos
secondary,v168,0.359006735,f1pos
secondary,v022,0.3362976083,f1pos
primary,v131,-0.605461282,f2neg
primary,v143,-0.475394295,f2neg
primary,v030,-0.436775437,f2neg
primary,v001,-0.420372282,f2neg
primary,v040,-0.37852212,f2neg
primary,v137,-0.342418718,f2neg
primary,v189,-0.33037831,f2neg
primary,v070,-0.307539022,f2neg
primary,v147,0.7236771667,f2pos
primary,v018,0.7196198348,f2pos
primary,v162,0.6395124995,f2pos
primary,v056,0.5424619089,f2pos
primary,v227,0.4741264427,f2pos
primary,v020,0.4446256249,f2pos
primary,v057,0.4296338649,f2pos
primary,v022,0.4240153028,f2pos
primary,v016,0.4199387259,f2pos
primary,v092,0.4160675225,f2pos
primary,v100,0.3940045445,f2pos
primary,v109,0.3833094742,f2pos
primary,v006,0.3762460906,f2pos
primary,v134,0.3692590224,f2pos
primary,v125,0.364554805,f2pos
primary,v164,0.3635063715,f2pos
primary,v130,0.3592631043,f2pos
primary,v021,0.3325393276,f2pos
primary,v151,0.3309779617,f2pos
primary,v097,0.3274860308,f2pos
primary,v139,0.3242749006,f2pos
primary,v033,0.3167669041,f2pos
secondary,v066,-0.37912426,f2neg
secondary,v055,-0.328577893,f2neg
secondary,v071,-0.319154599,f2neg
secondary,v051,-0.318385136,f2neg
secondary,v096,0.3259268931,f2pos
primary,v003,-0.464347214,f3neg
primary,v042,-0.385514283,f3neg
primary,v047,-0.363313025,f3neg
primary,v050,-0.300054975,f3neg
primary,v185,0.7894465952,f3pos
primary,v065,0.763625829,f3pos
primary,v098,0.6590696379,f3pos
primary,v150,0.6318388021,f3pos
primary,v079,0.5852445058,f3pos
primary,v074,0.5635327615,f3pos
primary,v075,0.5275498531,f3pos
primary,v066,0.4656447846,f3pos
primary,v095,0.4571246909,f3pos
primary,v104,0.4528056489,f3pos
primary,v110,0.3969743972,f3pos
primary,v077,0.3890764379,f3pos
primary,v142,0.3503215908,f3pos
primary,v203,0.3323737845,f3pos
primary,v101,0.314667466,f3pos
primary,v068,0.3093464739,f3pos
secondary,v129,-0.453924879,f3neg
secondary,v027,-0.368858682,f3neg
secondary,v051,-0.323866682,f3neg
secondary,v054,-0.312112694,f3neg
secondary,v040,0.3727816194,f3pos
secondary,v055,0.3233079226,f3pos
secondary,v056,0.3227657753,f3pos
primary,v148,0.7678091811,f4pos
primary,v141,0.7600419374,f4pos
primary,v178,0.6567480252,f4pos
primary,v156,0.410580116,f4pos
primary,v179,0.4067523996,f4pos
primary,v168,0.3846675701,f4pos
primary,v096,0.3698113357,f4pos
primary,v196,0.3587573241,f4pos
primary,v171,0.3527433141,f4pos
primary,v167,0.3506863344,f4pos
secondary,v151,-0.326775366,f4neg
secondary,v100,-0.311218697,f4neg
secondary,v097,0.317958125,f4pos
