filename,subcorpus,f4
36006.txt,maiores_notas,9.9392572911
35906.txt,menores_notas,10.029972019
37999.txt,menores_notas,10.365803927
37362.txt,maiores_notas,10.387771957
34642.txt,menores_notas,10.417754901
46626.txt,menores_notas,10.420863552
36797.txt,menores_notas,10.494475839
35457_composicao_gemini-3.6-flash.txt,menores_notas_gemini,10.57362397
37677.txt,menores_notas,10.602658213
34832.txt,maiores_notas,10.879775525
35019.txt,menores_notas,10.969625469
45015.txt,maiores_notas,11.092007694
34717.txt,maiores_notas,11.109087474
34616.txt,menores_notas,11.268685675
39956.txt,menores_notas,11.640382292
34613.txt,menores_notas,11.663688759
35497.txt,maiores_notas,11.681669868
35056.txt,menores_notas,11.748544643
33999.txt,maiores_notas,11.961416687
40548.txt,maiores_notas,12.279942984
34050.txt,maiores_notas,12.534290554
38002_composicao_gpt-5.6-sol.txt,menores_notas_gpt,12.696715113
39684.txt,maiores_notas,12.721587317
37605.txt,maiores_notas,12.895299451
36436.txt,maiores_notas,12.974199096
37193.txt,maiores_notas,13.08911467
38333.txt,maiores_notas,13.287616124
40362.txt,menores_notas,13.339801717
34967.txt,maiores_notas,13.418403026
34277.txt,maiores_notas,13.554293422
34613_composicao_gpt-5.6-sol.txt,menores_notas_gpt,13.86056143
35934.txt,maiores_notas,14.075056049
35994.txt,maiores_notas,14.094188418
36743.txt,maiores_notas,14.176284421
38917.txt,menores_notas,14.376615854
37293.txt,maiores_notas,15.165069893
47046.txt,menores_notas,15.229771946
36330.txt,maiores_notas,15.306861201
36524_composicao_gpt-5.6-sol.txt,menores_notas_gpt,15.396154876
45081.txt,maiores_notas,16.174015072
39715.txt,maiores_notas,16.440820847
38845.txt,maiores_notas,16.974513758
35457.txt,menores_notas,17.037085422
40140.txt,maiores_notas,17.598463329
34362.txt,menores_notas,18.568403493
46687.txt,menores_notas,18.885078437
40772.txt,maiores_notas,19.134874559
36797_composicao_gemini-3.6-flash.txt,menores_notas_gemini,19.719483038
39509.txt,maiores_notas,19.970807668
40929.txt,menores_notas,21.480524626
41093.txt,menores_notas,21.563306584
33383.txt,maiores_notas,21.601443091
46771.txt,maiores_notas,21.93313825
36030.txt,maiores_notas,21.936887675
38536.txt,menores_notas,24.270277119
46108.txt,menores_notas,24.325156838
37284.txt,maiores_notas,25.78837302
35820.txt,menores_notas,27.423565979
36341.txt,menores_notas,33.782890843
