filename,subcorpus,f1
35647.txt,maiores_notas,37.542788474
40929_composicao_gpt-5.6-sol.txt,menores_notas_gpt,37.746190267
40461.txt,menores_notas,37.833608314
47046.txt,menores_notas,38.05798725
33789.txt,menores_notas,38.195049975
46290.txt,menores_notas,38.4356902
36769.txt,maiores_notas,38.454176878
40426.txt,menores_notas,39.093361839
33862.txt,menores_notas,39.094162653
37489_composicao_gemini-3.6-flash.txt,menores_notas_gemini,39.423737182
34807_composicao_gpt-5.6-sol.txt,menores_notas_gpt,39.522553956
36577.txt,maiores_notas,39.737076102
39302.txt,menores_notas,39.987993587
46255.txt,menores_notas,40.563660927
39650.txt,maiores_notas,40.87519056
38632_composicao_gpt-5.6-sol.txt,menores_notas_gpt,40.882940568
45241_composicao_gemini-3.6-flash.txt,menores_notas_gemini,40.887165743
38637.txt,menores_notas,41.044293032
36797_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.07450833
33787.txt,menores_notas,41.076067009
35633_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.329400502
32860_composicao_gemini-3.6-flash.txt,menores_notas_gemini,41.394726788
38002.txt,menores_notas,41.764358915
33879.txt,maiores_notas,41.798285103
39379.txt,menores_notas,42.152550353
34717.txt,maiores_notas,42.491539133
46034.txt,menores_notas,42.817610148
35131.txt,menores_notas,43.054201045
39722.txt,menores_notas,43.76987793
35911.txt,menores_notas,43.835401859
38677.txt,menores_notas,45.085616133
36181_composicao_gpt-5.6-sol.txt,menores_notas_gpt,46.536493069
35911_composicao_gpt-5.6-sol.txt,menores_notas_gpt,46.803331224
36797_composicao_gpt-5.6-sol.txt,menores_notas_gpt,46.88784147
45241_composicao_gpt-5.6-sol.txt,menores_notas_gpt,47.615981951
38226.txt,menores_notas,48.298871968
34841.txt,maiores_notas,48.466005793
46255_composicao_gpt-5.6-sol.txt,menores_notas_gpt,48.494692664
33862_composicao_gpt-5.6-sol.txt,menores_notas_gpt,49.058037534
36181.txt,menores_notas,50.961975948
33856_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.090796842
38392.txt,maiores_notas,51.11335247
38002_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.157125144
39124_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.228695314
36551.txt,maiores_notas,51.338156159
32860_composicao_gpt-5.6-sol.txt,menores_notas_gpt,51.841799768
38172_composicao_gpt-5.6-sol.txt,menores_notas_gpt,52.265758724
38957_composicao_gpt-5.6-sol.txt,menores_notas_gpt,52.623353039
35457.txt,menores_notas,53.90287138
35163_composicao_gpt-5.6-sol.txt,menores_notas_gpt,55.126207197
37043_composicao_gpt-5.6-sol.txt,menores_notas_gpt,55.748742283
37293.txt,maiores_notas,56.020108623
37999_composicao_gemini-3.6-flash.txt,menores_notas_gemini,56.132191236
46711.txt,maiores_notas,56.202797514
35056_composicao_gemini-3.6-flash.txt,menores_notas_gemini,57.181913164
34511.txt,maiores_notas,57.380748697
38493.txt,maiores_notas,57.593219026
37994_composicao_gpt-5.6-sol.txt,menores_notas_gpt,57.686542962
36560.txt,maiores_notas,57.777755371
39912.txt,menores_notas,57.834819737
33645.txt,menores_notas,57.931796052
37416.txt,maiores_notas,58.114413086
35457_composicao_gpt-5.6-sol.txt,menores_notas_gpt,58.140959339
45268.txt,menores_notas,58.419802395
35661_composicao_gpt-5.6-sol.txt,menores_notas_gpt,59.067307628
37212.txt,menores_notas,59.422816586
37043.txt,menores_notas,59.834965664
34613.txt,menores_notas,59.868677872
39912_composicao_gpt-5.6-sol.txt,menores_notas_gpt,60.775114874
38957.txt,menores_notas,61.348248161
37677.txt,menores_notas,63.253372365
45081.txt,maiores_notas,63.40865411
36797.txt,menores_notas,63.95222967
35136_composicao_gpt-5.6-sol.txt,menores_notas_gpt,64.048366272
37362.txt,maiores_notas,65.405806238
34356.txt,menores_notas,66.381245314
34613_composicao_gpt-5.6-sol.txt,menores_notas_gpt,67.117884103
40617_composicao_gpt-5.6-sol.txt,menores_notas_gpt,67.152209118
40676.txt,maiores_notas,67.521335593
37999_composicao_gpt-5.6-sol.txt,menores_notas_gpt,67.783257969
33856.txt,menores_notas,67.947213558
35278.txt,menores_notas,67.985027812
46479.txt,maiores_notas,68.076994893
37961.txt,maiores_notas,71.345725214
37999.txt,menores_notas,71.453874034
35056_composicao_gpt-5.6-sol.txt,menores_notas_gpt,72.831818915
34050.txt,maiores_notas,72.97147023
37489_composicao_gpt-5.6-sol.txt,menores_notas_gpt,73.268615626
36260.txt,maiores_notas,76.658526151
39108.txt,maiores_notas,77.050261066
35163.txt,menores_notas,78.870796916
37753.txt,maiores_notas,79.373012734
35136.txt,menores_notas,79.484003534
40173.txt,maiores_notas,79.855939777
34754.txt,maiores_notas,81.101199943
34185.txt,menores_notas,81.360729511
40548.txt,maiores_notas,82.043305394
37126.txt,maiores_notas,82.689695087
36237.txt,maiores_notas,82.838142257
36436.txt,maiores_notas,84.201819998
39164.txt,menores_notas,85.143633806
38172.txt,menores_notas,85.583411531
32860.txt,menores_notas,86.52633996
36524_composicao_gpt-5.6-sol.txt,menores_notas_gpt,87.141250718
40617.txt,menores_notas,87.875790095
34277.txt,maiores_notas,87.899685568
37662.txt,maiores_notas,88.108902906
38784.txt,maiores_notas,88.165448062
39465.txt,maiores_notas,89.677042517
35633_composicao_gpt-5.6-sol.txt,menores_notas_gpt,89.798857417
35734.txt,maiores_notas,90.369159112
37260.txt,menores_notas,90.838234328
37480.txt,maiores_notas,91.425567695
37817.txt,maiores_notas,91.561603075
37994.txt,menores_notas,92.56223144
40256.txt,menores_notas,95.090265622
40621.txt,maiores_notas,97.14238229
40943.txt,maiores_notas,102.73763819
38612.txt,maiores_notas,103.72297284
35661.txt,menores_notas,104.65872861
45015.txt,maiores_notas,112.25423287
35633.txt,menores_notas,113.79599597
36926.txt,maiores_notas,113.90940929
37489.txt,menores_notas,114.11811934
37612.txt,maiores_notas,115.43434659
34084.txt,maiores_notas,116.19662132
36524.txt,menores_notas,118.14283137
35056.txt,menores_notas,122.03885818
45241.txt,menores_notas,122.27884698
39516.txt,menores_notas,125.03157228
37754.txt,maiores_notas,131.53936857
40362.txt,menores_notas,146.67358557
