filename	subcorpus	wcount	v001	v002	v003	v004	v005	v006	v007_1	v007_2	v007_3	v007_4	v008	v009	v010	v011	v012	v013	v014	v015	v016	v017	v018	v019	v020	v021	v022	v023	v024	v025	v026	v027	v028	v029	v030	v031	v032	v033	v034	v035	v036	v037	v038	v039	v040	v041	v042	v043	v044	v045	v046	v047	v048	v049	v050	v051	v052	v053	v054	v055	v056	v057	v058	v059	v060	v061	v062	v063	v064	v065	v066	v067	v068	v069	v070	v071	v072	v073	v074	v075	v076	v077	v078	v079	v080	v081	v082	v083	v084	v085	v086	v087	v088	v089	v090	v091	v092	v093	v094	v095	v096	v097	v098	v099	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v163	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185	v186	v187	v188	v189	v190	v191	v192	v193	v194	v195	v196	v197	v198	v199	v200	v201	v202	v203	v204	v205	v206	v207	v208	v209	v210	v211	v212	v213	v214	v215	v216	v217	v218	v219	v220	v221	v222	v223	v224	v225	v226	v227	v228	v229	v230	v900	v901	v902	v903	v904	v905	v906	v907	v908	v909	v910	v911	v912	v913	v914	v915	v916	v917	v918	v919
32610.txt	menores_notas	169	100.591716	0	76.923077	17.751479	11.83432	11.83432	5.91716	0	0	0	0	0	17.751479	5.91716	0	0	17.751479	0	5.91716	5.91716	35.502959	0	23.668639	0	11.83432	0	0	0	0	53.254438	248.52071	100.591716	88.757396	23.668639	11.83432	17.751479	5.91716	47.337278	0	29.585799	82.840237	11.83432	47.337278	0	29.585799	5.91716	35.502959	11.83432	5.91716	0	0	0	11.83432	41.420118	0	5.91716	35.502959	88.757396	47.337278	11.83432	0	11.83432	0	11.83432	0	17.751479	11.83432	17.751479	29.585799	5.91716	0	0	0	0	0	0	5.91716	11.83432	0	0	0	53.254438	41.420118	5.91716	0	0	0	5.91716	0	0	0	0	0	11.83432	0	0	0	35.502959	0	11.83432	29.585799	5.91716	11.83432	35.502959	106.508876	11.83432	23.668639	0	0	5.91716	0	11.83432	0	0	0	11.83432	5.91716	0	0	0	0	0	0	0	0	0	5.91716	5.91716	11.83432	106.508876	17.751479	82.840237	0	11.83432	0	5.91716	5.91716	0	0	0	0	0	0	5.91716	5.91716	11.83432	0	5.91716	0	35.502959	5.91716	0	29.585799	5.91716	0	5.91716	11.83432	0	5.91716	0	0	0	0	0	29.585799	0	5.91716	5.91716	0	0	5.91716	0	0	0	0	0	0	0	0	0	5.91716	0	0	0	0	0	0	17.751479	0	0	0	0	0	0	17.751479	0	0	11.83432	5.91716	0	0	0	0	0	0	5.91716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91716	0	0	0	100.591716	82.840237	301.775148	59.171598	171.597633	29.585799	201.183432	35.502959	35.502959	35.502959	5.91716	0	0	5.91716	41.420118	5.91716	17.751479	11.83432	76.923077	17.751479
32674.txt	menores_notas	237	88.607595	12.658228	67.510549	16.877637	12.658228	4.219409	12.658228	0	0	0	0	0	12.658228	4.219409	0	4.219409	0	0	0	4.219409	8.438819	0	0	8.438819	4.219409	0	0	0	0	8.438819	316.455696	54.852321	181.434599	29.535865	12.658228	4.219409	0	75.949367	16.877637	50.632911	25.316456	16.877637	59.07173	0	16.877637	21.097046	29.535865	12.658228	4.219409	0	0	0	4.219409	42.194093	0	8.438819	42.194093	84.388186	37.974684	12.658228	0	0	4.219409	4.219409	12.658228	0	0	8.438819	67.510549	0	0	0	0	0	0	0	0	8.438819	0	0	0	50.632911	4.219409	4.219409	0	0	4.219409	0	0	0	8.438819	0	0	0	12.658228	0	0	37.974684	25.316456	0	29.535865	0	25.316456	29.535865	59.07173	8.438819	37.974684	0	0	0	21.097046	12.658228	4.219409	8.438819	0	4.219409	12.658228	0	0	0	8.438819	0	0	0	0	0	0	8.438819	8.438819	105.485232	8.438819	67.510549	0	29.535865	4.219409	0	0	0	0	0	0	8.438819	0	4.219409	4.219409	25.316456	4.219409	4.219409	0	8.438819	0	0	29.535865	16.877637	0	0	4.219409	0	25.316456	0	0	0	0	0	4.219409	0	4.219409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.219409	0	0	0	0	0	4.219409	25.316456	0	0	12.658228	0	0	0	0	0	0	8.438819	8.438819	0	0	0	0	0	0	0	0	0	8.438819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.265823	29.535865	324.894515	71.729958	139.240506	63.291139	181.434599	54.852321	63.291139	8.438819	16.877637	8.438819	0	0	29.535865	0	8.438819	12.658228	84.388186	4.219409
32714.txt	menores_notas	258	62.015504	7.751938	38.75969	7.751938	0	34.883721	27.131783	0	0	0	0	0	3.875969	7.751938	0	0	11.627907	0	19.379845	7.751938	38.75969	7.751938	31.007752	0	31.007752	11.627907	0	0	11.627907	19.379845	220.930233	100.775194	77.51938	27.131783	11.627907	11.627907	7.751938	27.131783	0	23.255814	31.007752	11.627907	54.263566	0	34.883721	0	11.627907	7.751938	3.875969	3.875969	0	3.875969	15.503876	31.007752	0	7.751938	38.75969	143.410853	73.643411	23.255814	11.627907	19.379845	3.875969	11.627907	7.751938	3.875969	3.875969	11.627907	58.139535	11.627907	0	19.379845	7.751938	0	0	0	0	7.751938	3.875969	0	0	108.527132	7.751938	0	0	0	3.875969	0	3.875969	0	0	0	0	0	19.379845	0	0	23.255814	3.875969	0	38.75969	0	34.883721	23.255814	116.27907	0	23.255814	0	7.751938	3.875969	7.751938	31.007752	0	11.627907	0	3.875969	19.379845	0	0	0	7.751938	3.875969	0	0	0	0	0	27.131783	3.875969	124.031008	0	38.75969	0	27.131783	3.875969	3.875969	0	0	0	11.627907	0	0	0	3.875969	0	19.379845	11.627907	0	0	38.75969	3.875969	0	38.75969	34.883721	23.255814	0	27.131783	0	3.875969	0	0	0	3.875969	0	27.131783	11.627907	0	0	0	0	3.875969	0	0	0	0	0	0	0	0	0	3.875969	0	0	0	0	0	0	7.751938	0	0	0	0	0	0	19.379845	0	0	3.875969	0	0	0	0	0	0	0	3.875969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108.527132	81.395349	244.186047	46.511628	217.054264	69.767442	162.790698	50.387597	27.131783	38.75969	3.875969	0	0	3.875969	38.75969	3.875969	11.627907	19.379845	96.899225	0
32733.txt	menores_notas	242	82.644628	8.264463	78.512397	8.264463	12.396694	24.793388	16.528926	4.132231	0	0	0	4.132231	4.132231	4.132231	0	0	4.132231	0	0	0	16.528926	0	4.132231	0	28.92562	4.132231	0	0	4.132231	0	289.256198	144.628099	136.363636	49.586777	4.132231	4.132231	16.528926	74.380165	0	66.115702	49.586777	0	41.322314	0	45.454545	12.396694	24.793388	24.793388	4.132231	8.264463	0	0	12.396694	57.85124	0	4.132231	41.322314	70.247934	41.322314	16.528926	4.132231	4.132231	4.132231	0	20.661157	4.132231	12.396694	8.264463	49.586777	16.528926	0	4.132231	4.132231	0	0	4.132231	4.132231	0	0	4.132231	0	61.983471	8.264463	0	0	4.132231	0	0	0	0	0	0	0	0	24.793388	0	0	8.264463	0	4.132231	24.793388	4.132231	20.661157	4.132231	74.380165	8.264463	0	0	12.396694	0	0	8.264463	4.132231	12.396694	0	8.264463	8.264463	0	0	0	12.396694	0	0	0	0	0	0	4.132231	16.528926	119.834711	12.396694	90.909091	4.132231	28.92562	0	8.264463	0	0	0	0	0	0	0	8.264463	4.132231	20.661157	12.396694	0	0	16.528926	8.264463	0	28.92562	20.661157	0	0	4.132231	0	0	0	0	0	0	0	16.528926	0	0	0	0	4.132231	4.132231	0	0	0	0	0	0	0	0	0	8.264463	0	0	0	0	0	0	8.264463	8.264463	0	0	0	0	12.396694	28.92562	0	0	4.132231	0	0	0	0	0	0	0	20.661157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.396694	0	4.132231	0	90.909091	33.057851	289.256198	82.644628	123.966942	61.983471	223.140496	49.586777	8.264463	16.528926	20.661157	0	0	8.264463	28.92562	8.264463	8.264463	8.264463	49.586777	20.661157
32749.txt	menores_notas	176	96.590909	5.681818	56.818182	11.363636	5.681818	5.681818	5.681818	0	0	0	0	5.681818	28.409091	0	0	0	0	0	0	5.681818	5.681818	0	0	0	11.363636	0	0	0	0	0	278.409091	130.681818	113.636364	17.045455	11.363636	5.681818	0	28.409091	5.681818	34.090909	0	0	34.090909	0	17.045455	22.727273	22.727273	17.045455	0	0	0	5.681818	11.363636	22.727273	0	5.681818	39.772727	147.727273	68.181818	51.136364	0	5.681818	5.681818	5.681818	39.772727	0	0	22.727273	85.227273	5.681818	0	5.681818	0	0	5.681818	0	5.681818	11.363636	5.681818	0	0	79.545455	0	5.681818	0	0	0	5.681818	0	0	5.681818	5.681818	5.681818	0	22.727273	0	0	5.681818	11.363636	17.045455	79.545455	5.681818	11.363636	22.727273	90.909091	0	5.681818	0	11.363636	0	0	17.045455	0	17.045455	0	5.681818	5.681818	0	0	0	17.045455	0	0	0	0	5.681818	0	11.363636	0	56.818182	5.681818	56.818182	0	45.454545	0	5.681818	22.727273	11.363636	0	5.681818	0	0	0	5.681818	0	39.772727	11.363636	0	0	5.681818	5.681818	0	73.863636	11.363636	11.363636	0	11.363636	5.681818	28.409091	0	0	0	0	0	5.681818	0	0	11.363636	0	0	0	0	0	0	0	0	0	0	0	0	0	5.681818	0	0	5.681818	0	11.363636	22.727273	0	0	0	0	0	0	11.363636	0	0	11.363636	17.045455	0	0	0	0	0	5.681818	0	0	0	0	0	0	0	0	0	0	5.681818	0	0	0	0	0	0	0	0	0	0	0	0	0	5.681818	0	0	0	102.272727	45.454545	278.409091	56.818182	221.590909	51.136364	113.636364	90.909091	17.045455	5.681818	5.681818	5.681818	0	5.681818	79.545455	5.681818	22.727273	11.363636	113.636364	17.045455
32755.txt	menores_notas	243	115.226337	4.115226	82.304527	0	0	8.230453	0	0	0	0	0	0	12.345679	0	4.115226	0	4.115226	0	0	8.230453	57.613169	0	0	0	16.460905	0	0	0	0	24.691358	283.950617	160.493827	144.032922	45.26749	8.230453	4.115226	4.115226	24.691358	0	16.460905	61.728395	0	28.806584	0	45.26749	12.345679	16.460905	8.230453	0	8.230453	4.115226	16.460905	8.230453	61.728395	0	0	65.843621	152.263374	28.806584	16.460905	0	32.921811	8.230453	8.230453	12.345679	0	4.115226	8.230453	82.304527	16.460905	0	41.152263	0	0	4.115226	0	8.230453	0	0	8.230453	0	37.037037	45.26749	0	0	4.115226	8.230453	8.230453	0	0	4.115226	0	0	0	8.230453	0	0	0	0	0	65.843621	0	24.691358	8.230453	94.650206	0	0	0	0	0	8.230453	4.115226	0	16.460905	0	8.230453	0	0	0	0	16.460905	0	0	0	0	0	8.230453	8.230453	12.345679	61.728395	4.115226	82.304527	0	8.230453	4.115226	12.345679	0	0	0	0	0	0	0	0	0	0	20.576132	0	0	57.613169	0	0	65.843621	24.691358	4.115226	4.115226	8.230453	0	4.115226	0	0	0	0	0	41.152263	4.115226	8.230453	4.115226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.691358	0	0	0	0	0	4.115226	16.460905	0	0	8.230453	0	0	0	0	0	0	8.230453	0	0	0	8.230453	0	0	0	0	0	0	8.230453	0	0	0	0	0	0	0	0	0	0	0	0	0	12.345679	0	0	0	119.341564	78.1893	308.641975	78.1893	189.300412	45.26749	148.148148	24.691358	0	57.613169	16.460905	8.230453	0	0	65.843621	0	8.230453	12.345679	98.765432	8.230453
32782.txt	menores_notas	235	85.106383	4.255319	80.851064	4.255319	0	21.276596	0	0	0	0	0	0	8.510638	0	0	0	4.255319	0	4.255319	4.255319	4.255319	0	12.765957	0	21.276596	0	0	0	0	0	357.446809	157.446809	97.87234	21.276596	4.255319	12.765957	8.510638	85.106383	38.297872	80.851064	42.553191	12.765957	63.829787	4.255319	34.042553	21.276596	34.042553	17.021277	0	12.765957	0	4.255319	12.765957	51.06383	0	21.276596	51.06383	89.361702	46.808511	29.787234	8.510638	0	0	0	12.765957	8.510638	8.510638	0	34.042553	8.510638	0	0	4.255319	0	0	0	0	0	0	0	0	34.042553	8.510638	0	0	0	0	4.255319	0	0	4.255319	4.255319	0	0	8.510638	0	0	17.021277	0	12.765957	21.276596	12.765957	29.787234	25.531915	46.808511	8.510638	12.765957	0	12.765957	4.255319	4.255319	4.255319	0	12.765957	0	0	0	0	0	0	12.765957	0	0	0	0	0	0	4.255319	17.021277	123.404255	0	85.106383	8.510638	42.553191	0	0	0	4.255319	4.255319	0	0	0	4.255319	4.255319	0	38.297872	4.255319	0	0	4.255319	4.255319	0	21.276596	29.787234	0	0	8.510638	0	8.510638	0	0	0	0	0	0	4.255319	0	12.765957	0	4.255319	0	0	0	0	0	0	0	0	0	0	4.255319	0	0	0	0	0	0	0	0	0	0	4.255319	0	0	12.765957	0	0	8.510638	0	0	0	0	0	0	0	4.255319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.255319	0	0	0	89.361702	21.276596	357.446809	85.106383	140.425532	42.553191	208.510638	59.574468	17.021277	4.255319	4.255319	0	0	4.255319	34.042553	8.510638	0	0	85.106383	12.765957
32792.txt	menores_notas	215	111.627907	4.651163	37.209302	0	13.953488	13.953488	9.302326	0	0	0	0	4.651163	18.604651	13.953488	9.302326	4.651163	4.651163	0	0	23.255814	13.953488	9.302326	9.302326	0	32.55814	4.651163	4.651163	0	0	13.953488	251.162791	120.930233	116.27907	18.604651	0	0	0	41.860465	0	37.209302	13.953488	23.255814	9.302326	4.651163	32.55814	9.302326	27.906977	18.604651	4.651163	0	0	4.651163	9.302326	51.162791	4.651163	23.255814	41.860465	125.581395	9.302326	9.302326	4.651163	4.651163	18.604651	0	4.651163	0	4.651163	13.953488	51.162791	4.651163	4.651163	0	4.651163	0	0	0	4.651163	0	9.302326	4.651163	0	55.813953	9.302326	0	0	0	0	9.302326	0	0	0	0	0	0	0	0	0	0	4.651163	9.302326	55.813953	0	4.651163	9.302326	74.418605	0	0	0	4.651163	4.651163	9.302326	4.651163	0	18.604651	0	0	4.651163	0	0	0	18.604651	0	0	0	0	0	0	9.302326	9.302326	176.744186	4.651163	37.209302	4.651163	4.651163	4.651163	0	9.302326	0	0	0	0	0	0	4.651163	0	0	9.302326	0	0	13.953488	4.651163	9.302326	55.813953	4.651163	0	4.651163	27.906977	4.651163	9.302326	0	0	0	0	0	13.953488	0	0	9.302326	0	4.651163	0	0	0	0	0	0	0	0	0	0	4.651163	0	0	0	0	0	4.651163	13.953488	0	0	0	0	0	9.302326	13.953488	0	4.651163	18.604651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.651163	0	0	0	0	0	0	0	0	0	4.651163	0	0	0	153.488372	88.372093	265.116279	69.767442	134.883721	41.860465	218.604651	23.255814	4.651163	13.953488	0	0	4.651163	4.651163	60.465116	4.651163	13.953488	4.651163	69.767442	32.55814
32860.txt	menores_notas	218	73.394495	0	41.284404	13.761468	22.93578	0	0	0	0	0	0	9.174312	59.633028	0	27.522936	4.587156	36.697248	0	0	9.174312	18.348624	0	9.174312	0	4.587156	9.174312	0	0	9.174312	0	224.770642	68.807339	91.743119	64.220183	0	0	9.174312	4.587156	0	18.348624	4.587156	0	68.807339	0	9.174312	45.87156	0	32.110092	0	0	0	0	4.587156	22.93578	0	0	9.174312	188.073394	41.284404	36.697248	18.348624	4.587156	22.93578	4.587156	18.348624	0	22.93578	4.587156	41.284404	4.587156	0	13.761468	0	4.587156	0	4.587156	4.587156	0	0	4.587156	0	22.93578	82.568807	45.87156	9.174312	0	0	0	0	0	0	0	0	9.174312	0	13.761468	0	9.174312	0	4.587156	45.87156	0	13.761468	18.348624	151.376147	0	9.174312	0	32.110092	0	4.587156	9.174312	0	27.522936	0	4.587156	9.174312	0	0	0	18.348624	9.174312	0	0	0	0	0	9.174312	9.174312	50.458716	13.761468	41.284404	0	36.697248	0	9.174312	4.587156	0	9.174312	9.174312	0	0	9.174312	18.348624	4.587156	13.761468	22.93578	4.587156	0	18.348624	13.761468	0	45.87156	13.761468	0	0	22.93578	0	9.174312	0	4.587156	0	0	0	13.761468	0	0	4.587156	0	9.174312	0	0	0	0	0	0	0	0	0	0	13.761468	0	0	0	0	4.587156	9.174312	9.174312	0	0	0	0	0	0	18.348624	0	0	50.458716	9.174312	0	0	0	0	0	0	13.761468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.678899	137.614679	224.770642	68.807339	220.183486	87.155963	105.504587	91.743119	9.174312	18.348624	13.761468	0	0	13.761468	45.87156	13.761468	4.587156	9.174312	77.981651	22.93578
33167.txt	menores_notas	258	62.015504	0	62.015504	11.627907	23.255814	15.503876	0	0	0	0	0	3.875969	7.751938	3.875969	3.875969	0	3.875969	0	3.875969	11.627907	46.511628	0	15.503876	7.751938	23.255814	7.751938	3.875969	0	0	3.875969	271.317829	112.403101	89.147287	34.883721	7.751938	3.875969	7.751938	46.511628	3.875969	31.007752	11.627907	15.503876	42.635659	15.503876	34.883721	15.503876	31.007752	31.007752	3.875969	0	0	0	11.627907	54.263566	0	15.503876	34.883721	100.775194	42.635659	23.255814	11.627907	7.751938	3.875969	0	19.379845	0	15.503876	7.751938	50.387597	0	0	0	7.751938	0	0	0	3.875969	3.875969	0	3.875969	0	77.51938	7.751938	7.751938	0	0	7.751938	3.875969	0	0	7.751938	0	3.875969	7.751938	7.751938	3.875969	0	15.503876	0	0	31.007752	0	27.131783	19.379845	96.899225	7.751938	7.751938	0	7.751938	0	7.751938	11.627907	0	11.627907	0	3.875969	11.627907	0	0	0	11.627907	0	0	0	0	0	3.875969	11.627907	31.007752	85.271318	11.627907	62.015504	0	38.75969	3.875969	7.751938	0	3.875969	0	0	0	0	0	15.503876	3.875969	27.131783	19.379845	3.875969	0	46.511628	15.503876	0	31.007752	27.131783	0	0	11.627907	0	3.875969	0	0	0	0	0	38.75969	3.875969	7.751938	7.751938	0	0	7.751938	0	0	3.875969	0	0	0	0	0	0	11.627907	3.875969	0	0	0	0	11.627907	7.751938	0	0	0	0	0	7.751938	23.255814	0	0	7.751938	0	0	0	0	0	0	0	15.503876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.751938	0	0	0	124.031008	85.271318	275.193798	77.51938	178.294574	46.511628	155.03876	62.015504	15.503876	50.387597	15.503876	0	0	15.503876	42.635659	15.503876	7.751938	11.627907	77.51938	19.379845
